Name,Year,DOI,DOI-URL,Accessible
Accounts of chemical research,1968,10.1021/ar50001a004,https://doi.org/10.1021/ar50001a004,False
Accounts of chemical research,1969,10.1021/ar50017a001,https://doi.org/10.1021/ar50017a001,False
Accounts of chemical research,1970,10.1021/ar50027a004,https://doi.org/10.1021/ar50027a004,False
Accounts of chemical research,1971,10.1021/ar50046a002,https://doi.org/10.1021/ar50046a002,False
Accounts of chemical research,1972,10.1021/ar50051a004,https://doi.org/10.1021/ar50051a004,False
Accounts of chemical research,1973,10.1021/ar50061a001,https://doi.org/10.1021/ar50061a001,False
Accounts of chemical research,1974,10.1021/ar50084a003,https://doi.org/10.1021/ar50084a003,False
Accounts of chemical research,1975,10.1021/ar50087a001,https://doi.org/10.1021/ar50087a001,False
Accounts of chemical research,1976,10.1021/ar50097a700,https://doi.org/10.1021/ar50097a700,False
Accounts of chemical research,1977,10.1021/ar50116a700,https://doi.org/10.1021/ar50116a700,False
Accounts of chemical research,1978,10.1021/ar50130a005,https://doi.org/10.1021/ar50130a005,False
Accounts of chemical research,1979,10.1021/ar50133a700,https://doi.org/10.1021/ar50133a700,False
Accounts of chemical research,1980,10.1021/ar50152a003,https://doi.org/10.1021/ar50152a003,False
Accounts of chemical research,1981,10.1021/ar00065a003,https://doi.org/10.1021/ar00065a003,False
Accounts of chemical research,1982,10.1021/ar00083a600,https://doi.org/10.1021/ar00083a600,False
Accounts of chemical research,1983,10.1021/ar00090a600,https://doi.org/10.1021/ar00090a600,False
Accounts of chemical research,1984,10.1021/ar00107a002,https://doi.org/10.1021/ar00107a002,False
Accounts of chemical research,1985,10.1021/ar00119a001,https://doi.org/10.1021/ar00119a001,False
Accounts of chemical research,1986,10.1021/ar00121a700,https://doi.org/10.1021/ar00121a700,False
Accounts of chemical research,1987,10.1021/ar00141a001,https://doi.org/10.1021/ar00141a001,False
Accounts of chemical research,1988,10.1021/ar00147a006,https://doi.org/10.1021/ar00147a006,False
Accounts of chemical research,1989,10.1021/ar00168a700,https://doi.org/10.1021/ar00168a700,False
Accounts of chemical research,1990,10.1021/ar00172a004,https://doi.org/10.1021/ar00172a004,False
Accounts of chemical research,1991,10.1021/ar00010a003,https://doi.org/10.1021/ar00010a003,False
Accounts of chemical research,1992,10.1021/ar00017a700,https://doi.org/10.1021/ar00017a700,False
Accounts of chemical research,1993,10.1021/ar00036a002,https://doi.org/10.1021/ar00036a002,False
Accounts of chemical research,1994,10.1021/ar00040a001,https://doi.org/10.1021/ar00040a001,False
Accounts of chemical research,1995,10.1021/ar00051a002,https://doi.org/10.1021/ar00051a002,False
