Name,Year,DOI,DOI-URL,Accessible
Environmental Science & Technology,1967,10.1021/es60006a006,https://doi.org/10.1021/es60006a006,False
Environmental Science & Technology,1968,10.1021/es60017a700,https://doi.org/10.1021/es60017a700,False
Environmental Science & Technology,1969,10.1021/es60025a605,https://doi.org/10.1021/es60025a605,False
Environmental Science & Technology,1970,10.1021/es60040a008,https://doi.org/10.1021/es60040a008,False
Environmental Science & Technology,1971,10.1021/es60050a608,https://doi.org/10.1021/es60050a608,False
Environmental Science & Technology,1972,10.1021/es60066a604,https://doi.org/10.1021/es60066a604,False
Environmental Science & Technology,1973,10.1021/es60081a607,https://doi.org/10.1021/es60081a607,False
Environmental Science & Technology,1974,10.1021/es60086a010,https://doi.org/10.1021/es60086a010,False
Environmental Science & Technology,1975,10.1021/es60101a602,https://doi.org/10.1021/es60101a602,False
Environmental Science & Technology,1976,10.1021/es60115a611,https://doi.org/10.1021/es60115a611,False
Environmental Science & Technology,1977,10.1021/es60133a602,https://doi.org/10.1021/es60133a602,False
Environmental Science & Technology,1978,10.1021/es60138a611,https://doi.org/10.1021/es60138a611,False
Environmental Science & Technology,1979,10.1021/es60149a604,https://doi.org/10.1021/es60149a604,False
Environmental Science & Technology,1980,10.1021/es60163a603,https://doi.org/10.1021/es60163a603,False
Environmental Science & Technology,1981,10.1021/es00085a010,https://doi.org/10.1021/es00085a010,False
Environmental Science & Technology,1982,10.1021/es00104a701,https://doi.org/10.1021/es00104a701,False
Environmental Science & Technology,1983,10.1021/es00115a015,https://doi.org/10.1021/es00115a015,False
Environmental Science & Technology,1984,10.1021/es00121a706,https://doi.org/10.1021/es00121a706,False
Environmental Science & Technology,1985,10.1021/es00135a700,https://doi.org/10.1021/es00135a700,False
Environmental Science & Technology,1986,10.1021/es00147a603,https://doi.org/10.1021/es00147a603,False
Environmental Science & Technology,1987,10.1021/es00158a009,https://doi.org/10.1021/es00158a009,False
Environmental Science & Technology,1988,10.1021/es00171a606,https://doi.org/10.1021/es00171a606,False
Environmental Science & Technology,1989,10.1021/es00066a606,https://doi.org/10.1021/es00066a606,False
Environmental Science & Technology,1990,10.1021/es00077a002,https://doi.org/10.1021/es00077a002,False
Environmental Science & Technology,1991,10.1021/es00014a020,https://doi.org/10.1021/es00014a020,False
Environmental Science & Technology,1992,10.1021/es00029a018,https://doi.org/10.1021/es00029a018,False
Environmental Science & Technology,1993,10.1021/es00042a604,https://doi.org/10.1021/es00042a604,False
Environmental Science & Technology,1994,10.1021/es00061a744,https://doi.org/10.1021/es00061a744,False
Environmental Science & Technology,1995,10.1021/es00003a024,https://doi.org/10.1021/es00003a024,False
