Name,Year,DOI,DOI-URL,Accessible
Industrial & Engineering Chemistry (Analytical Edition),1929,10.1021/ac50068a008,https://doi.org/10.1021/ac50068a008,False
Industrial & Engineering Chemistry (Analytical Edition),1930,10.1021/ac50069a006,https://doi.org/10.1021/ac50069a006,False
Industrial & Engineering Chemistry (Analytical Edition),1931,10.1021/ac50076a031,https://doi.org/10.1021/ac50076a031,False
Industrial & Engineering Chemistry (Analytical Edition),1932,10.1021/ac50080a053,https://doi.org/10.1021/ac50080a053,False
Industrial & Engineering Chemistry (Analytical Edition),1933,10.1021/ac50081a037,https://doi.org/10.1021/ac50081a037,False
Industrial & Engineering Chemistry (Analytical Edition),1934,10.1021/ac50092a047,https://doi.org/10.1021/ac50092a047,False
Industrial & Engineering Chemistry (Analytical Edition),1935,10.1021/ac50096a032,https://doi.org/10.1021/ac50096a032,False
Industrial & Engineering Chemistry (Analytical Edition),1936,10.1021/ac50099a034,https://doi.org/10.1021/ac50099a034,False
Industrial & Engineering Chemistry (Analytical Edition),1937,10.1021/ac50111a021,https://doi.org/10.1021/ac50111a021,False
Industrial & Engineering Chemistry (Analytical Edition),1938,10.1021/ac50127a002,https://doi.org/10.1021/ac50127a002,False
Industrial & Engineering Chemistry (Analytical Edition),1939,10.1021/ac50139a004,https://doi.org/10.1021/ac50139a004,False
Industrial & Engineering Chemistry (Analytical Edition),1940,10.1021/ac50144a005,https://doi.org/10.1021/ac50144a005,False
Industrial & Engineering Chemistry (Analytical Edition),1941,10.1021/i560094a019,https://doi.org/10.1021/i560094a019,False
Industrial & Engineering Chemistry (Analytical Edition),1942,10.1021/i560102a023,https://doi.org/10.1021/i560102a023,False
Industrial & Engineering Chemistry (Analytical Edition),1943,10.1021/i560118a012,https://doi.org/10.1021/i560118a012,False
Industrial & Engineering Chemistry (Analytical Edition),1944,10.1021/i560127a003,https://doi.org/10.1021/i560127a003,False
Industrial & Engineering Chemistry (Analytical Edition),1945,10.1021/i560140a017,https://doi.org/10.1021/i560140a017,False
Industrial & Engineering Chemistry (Analytical Edition),1946,10.1021/i560159a008,https://doi.org/10.1021/i560159a008,False
