Name,Year,DOI,DOI-URL,Accessible
Industrial & Engineering Chemistry Process Design and Development,1962,10.1021/i260002a017,https://doi.org/10.1021/i260002a017,False
Industrial & Engineering Chemistry Process Design and Development,1963,10.1021/i260005a003,https://doi.org/10.1021/i260005a003,False
Industrial & Engineering Chemistry Process Design and Development,1964,10.1021/i260010a013,https://doi.org/10.1021/i260010a013,False
Industrial & Engineering Chemistry Process Design and Development,1965,10.1021/i260015a015,https://doi.org/10.1021/i260015a015,False
Industrial & Engineering Chemistry Process Design and Development,1966,10.1021/i260019a010,https://doi.org/10.1021/i260019a010,False
Industrial & Engineering Chemistry Process Design and Development,1967,10.1021/i260021a005,https://doi.org/10.1021/i260021a005,False
Industrial & Engineering Chemistry Process Design and Development,1968,10.1021/i260028a014,https://doi.org/10.1021/i260028a014,False
Industrial & Engineering Chemistry Process Design and Development,1969,10.1021/i260030a011,https://doi.org/10.1021/i260030a011,False
Industrial & Engineering Chemistry Process Design and Development,1970,10.1021/i260033a018,https://doi.org/10.1021/i260033a018,False
Industrial & Engineering Chemistry Process Design and Development,1971,10.1021/i260039a008,https://doi.org/10.1021/i260039a008,False
Industrial & Engineering Chemistry Process Design and Development,1972,10.1021/i260041a013,https://doi.org/10.1021/i260041a013,False
Industrial & Engineering Chemistry Process Design and Development,1973,10.1021/i260046a004,https://doi.org/10.1021/i260046a004,False
Industrial & Engineering Chemistry Process Design and Development,1974,10.1021/i260051a016,https://doi.org/10.1021/i260051a016,False
Industrial & Engineering Chemistry Process Design and Development,1975,10.1021/i260056a014,https://doi.org/10.1021/i260056a014,False
Industrial & Engineering Chemistry Process Design and Development,1976,10.1021/i260059a013,https://doi.org/10.1021/i260059a013,False
Industrial & Engineering Chemistry Process Design and Development,1977,10.1021/i260064a004,https://doi.org/10.1021/i260064a004,False
Industrial & Engineering Chemistry Process Design and Development,1978,10.1021/i260067a014,https://doi.org/10.1021/i260067a014,False
Industrial & Engineering Chemistry Process Design and Development,1979,10.1021/i260070a032,https://doi.org/10.1021/i260070a032,False
Industrial & Engineering Chemistry Process Design and Development,1980,10.1021/i260073a036,https://doi.org/10.1021/i260073a036,False
Industrial & Engineering Chemistry Process Design and Development,1981,10.1021/i200014a013,https://doi.org/10.1021/i200014a013,False
Industrial & Engineering Chemistry Process Design and Development,1982,10.1021/i200018a005,https://doi.org/10.1021/i200018a005,False
Industrial & Engineering Chemistry Process Design and Development,1983,10.1021/i200020a019,https://doi.org/10.1021/i200020a019,False
Industrial & Engineering Chemistry Process Design and Development,1984,10.1021/i200025a037,https://doi.org/10.1021/i200025a037,False
Industrial & Engineering Chemistry Process Design and Development,1985,10.1021/i200030a020,https://doi.org/10.1021/i200030a020,False
Industrial & Engineering Chemistry Process Design and Development,1986,10.1021/i200034a017,https://doi.org/10.1021/i200034a017,False
