Name,Year,DOI,DOI-URL,Accessible
Journal of Chemical and Engineering Data,1956,,https://doi.org/none,False
Journal of Chemical and Engineering Data,1957,,https://doi.org/none,False
Journal of Chemical and Engineering Data,1958,,https://doi.org/none,False
Journal of Chemical and Engineering Data,1959,10.1021/je60004a017,https://doi.org/10.1021/je60004a017,False
Journal of Chemical and Engineering Data,1960,10.1021/je60006a700,https://doi.org/10.1021/je60006a700,False
Journal of Chemical and Engineering Data,1961,10.1021/je60011a045,https://doi.org/10.1021/je60011a045,False
Journal of Chemical and Engineering Data,1962,10.1021/je60013a700,https://doi.org/10.1021/je60013a700,False
Journal of Chemical and Engineering Data,1963,10.1021/je60017a022,https://doi.org/10.1021/je60017a022,False
Journal of Chemical and Engineering Data,1964,10.1021/je60023a018,https://doi.org/10.1021/je60023a018,False
Journal of Chemical and Engineering Data,1965,10.1021/je60025a003,https://doi.org/10.1021/je60025a003,False
Journal of Chemical and Engineering Data,1966,10.1021/je60030a003,https://doi.org/10.1021/je60030a003,False
Journal of Chemical and Engineering Data,1967,10.1021/je60032a051,https://doi.org/10.1021/je60032a051,False
Journal of Chemical and Engineering Data,1968,10.1021/je60039a043,https://doi.org/10.1021/je60039a043,False
Journal of Chemical and Engineering Data,1969,10.1021/je60041a004,https://doi.org/10.1021/je60041a004,False
Journal of Chemical and Engineering Data,1970,10.1021/je60044a022,https://doi.org/10.1021/je60044a022,False
Journal of Chemical and Engineering Data,1971,10.1021/je60049a021,https://doi.org/10.1021/je60049a021,False
Journal of Chemical and Engineering Data,1972,10.1021/je60055a020,https://doi.org/10.1021/je60055a020,False
Journal of Chemical and Engineering Data,1973,10.1021/je60059a024,https://doi.org/10.1021/je60059a024,False
Journal of Chemical and Engineering Data,1974,10.1021/je60060a010,https://doi.org/10.1021/je60060a010,False
Journal of Chemical and Engineering Data,1975,10.1021/je60067a029,https://doi.org/10.1021/je60067a029,False
Journal of Chemical and Engineering Data,1976,10.1021/je60070a036,https://doi.org/10.1021/je60070a036,False
Journal of Chemical and Engineering Data,1977,10.1021/je60074a700,https://doi.org/10.1021/je60074a700,False
Journal of Chemical and Engineering Data,1978,10.1021/je60076a025,https://doi.org/10.1021/je60076a025,False
Journal of Chemical and Engineering Data,1979,10.1021/je60082a035,https://doi.org/10.1021/je60082a035,False
Journal of Chemical and Engineering Data,1980,10.1021/je60087a036,https://doi.org/10.1021/je60087a036,False
Journal of Chemical and Engineering Data,1981,10.1021/je00023a033,https://doi.org/10.1021/je00023a033,False
Journal of Chemical and Engineering Data,1982,10.1021/je00027a022,https://doi.org/10.1021/je00027a022,False
Journal of Chemical and Engineering Data,1983,10.1021/je00034a012,https://doi.org/10.1021/je00034a012,False
Journal of Chemical and Engineering Data,1984,10.1021/je00037a042,https://doi.org/10.1021/je00037a042,False
Journal of Chemical and Engineering Data,1985,10.1021/je00039a023,https://doi.org/10.1021/je00039a023,False
Journal of Chemical and Engineering Data,1986,10.1021/je00045a034,https://doi.org/10.1021/je00045a034,False
Journal of Chemical and Engineering Data,1987,10.1021/je00048a034,https://doi.org/10.1021/je00048a034,False
Journal of Chemical and Engineering Data,1988,10.1021/je00051a015,https://doi.org/10.1021/je00051a015,False
Journal of Chemical and Engineering Data,1989,10.1021/je00057a021,https://doi.org/10.1021/je00057a021,False
Journal of Chemical and Engineering Data,1990,10.1021/je00061a008,https://doi.org/10.1021/je00061a008,False
Journal of Chemical and Engineering Data,1991,10.1021/je00002a013,https://doi.org/10.1021/je00002a013,False
Journal of Chemical and Engineering Data,1992,10.1021/je00008a006,https://doi.org/10.1021/je00008a006,False
Journal of Chemical and Engineering Data,1993,10.1021/je00009a023,https://doi.org/10.1021/je00009a023,False
Journal of Chemical and Engineering Data,1994,10.1021/je00015a028,https://doi.org/10.1021/je00015a028,False
Journal of Chemical and Engineering Data,1995,10.1021/je00019a700,https://doi.org/10.1021/je00019a700,False
