Name,Year,DOI,DOI-URL,Accessible
Journal of Industrial and Engineering Chemistry (American Chemical Society),1909,10.1021/ie50004a027,https://doi.org/10.1021/ie50004a027,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1910,10.1021/ie50024a017,https://doi.org/10.1021/ie50024a017,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1911,10.1021/ie50036a608,https://doi.org/10.1021/ie50036a608,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1912,10.1021/ie50037a006,https://doi.org/10.1021/ie50037a006,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1913,10.1021/ie50049a060,https://doi.org/10.1021/ie50049a060,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1914,10.1021/ie50065a041,https://doi.org/10.1021/ie50065a041,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1915,10.1021/ie50077a700,https://doi.org/10.1021/ie50077a700,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1916,10.1021/i500004a031,https://doi.org/10.1021/i500004a031,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1917,10.1021/ie50091a016,https://doi.org/10.1021/ie50091a016,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1918,10.1021/ie50105a004,https://doi.org/10.1021/ie50105a004,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1919,10.1021/ie50115a032,https://doi.org/10.1021/ie50115a032,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1920,10.1021/ie50131a010,https://doi.org/10.1021/ie50131a010,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1921,10.1021/ie50135a040,https://doi.org/10.1021/ie50135a040,False
Journal of Industrial and Engineering Chemistry (American Chemical Society),1922,10.1021/ie50149a039,https://doi.org/10.1021/ie50149a039,False
