Name,Year,DOI,DOI-URL,Accessible
Journal of agricultural and food chemistry,1953,10.1021/jf60001a005,https://doi.org/10.1021/jf60001a005,False
Journal of agricultural and food chemistry,1954,10.1021/jf60039a602,https://doi.org/10.1021/jf60039a602,False
Journal of agricultural and food chemistry,1955,10.1021/jf60055a618,https://doi.org/10.1021/jf60055a618,False
Journal of agricultural and food chemistry,1956,10.1021/jf60070a005,https://doi.org/10.1021/jf60070a005,False
Journal of agricultural and food chemistry,1957,10.1021/jf60071a603,https://doi.org/10.1021/jf60071a603,False
Journal of agricultural and food chemistry,1958,10.1021/jf60094a007,https://doi.org/10.1021/jf60094a007,False
Journal of agricultural and food chemistry,1959,10.1021/jf60103a012,https://doi.org/10.1021/jf60103a012,False
Journal of agricultural and food chemistry,1960,10.1021/jf60108a009,https://doi.org/10.1021/jf60108a009,False
Journal of agricultural and food chemistry,1961,10.1021/jf60113a025,https://doi.org/10.1021/jf60113a025,False
Journal of agricultural and food chemistry,1962,10.1021/jf60119a006,https://doi.org/10.1021/jf60119a006,False
Journal of agricultural and food chemistry,1963,10.1021/jf60125a700,https://doi.org/10.1021/jf60125a700,False
Journal of agricultural and food chemistry,1964,10.1021/jf60135a005,https://doi.org/10.1021/jf60135a005,False
Journal of agricultural and food chemistry,1965,10.1021/jf60140a009,https://doi.org/10.1021/jf60140a009,False
Journal of agricultural and food chemistry,1966,10.1021/jf60148a037,https://doi.org/10.1021/jf60148a037,False
Journal of agricultural and food chemistry,1967,10.1021/jf60153a016,https://doi.org/10.1021/jf60153a016,False
Journal of agricultural and food chemistry,1968,10.1021/jf60156a004,https://doi.org/10.1021/jf60156a004,False
Journal of agricultural and food chemistry,1969,10.1021/jf60161a007,https://doi.org/10.1021/jf60161a007,False
Journal of agricultural and food chemistry,1970,10.1021/jf60169a024,https://doi.org/10.1021/jf60169a024,False
Journal of agricultural and food chemistry,1971,10.1021/jf60174a030,https://doi.org/10.1021/jf60174a030,False
Journal of agricultural and food chemistry,1972,10.1021/jf60183a001,https://doi.org/10.1021/jf60183a001,False
Journal of agricultural and food chemistry,1973,10.1021/jf60186a001,https://doi.org/10.1021/jf60186a001,False
Journal of agricultural and food chemistry,1974,10.1021/jf60196a015,https://doi.org/10.1021/jf60196a015,False
Journal of agricultural and food chemistry,1975,10.1021/jf60199a024,https://doi.org/10.1021/jf60199a024,False
Journal of agricultural and food chemistry,1976,10.1021/jf60204a009,https://doi.org/10.1021/jf60204a009,False
Journal of agricultural and food chemistry,1977,10.1021/jf60214a022,https://doi.org/10.1021/jf60214a022,False
Journal of agricultural and food chemistry,1978,10.1021/jf60215a027,https://doi.org/10.1021/jf60215a027,False
Journal of agricultural and food chemistry,1979,10.1021/jf60224a048,https://doi.org/10.1021/jf60224a048,False
Journal of agricultural and food chemistry,1980,10.1021/jf60229a013,https://doi.org/10.1021/jf60229a013,False
Journal of agricultural and food chemistry,1981,10.1021/jf00103a027,https://doi.org/10.1021/jf00103a027,False
Journal of agricultural and food chemistry,1982,10.1021/jf00111a054,https://doi.org/10.1021/jf00111a054,False
Journal of agricultural and food chemistry,1983,10.1021/jf00119a039,https://doi.org/10.1021/jf00119a039,False
Journal of agricultural and food chemistry,1984,10.1021/jf00122a052,https://doi.org/10.1021/jf00122a052,False
Journal of agricultural and food chemistry,1985,10.1021/jf00063a046,https://doi.org/10.1021/jf00063a046,False
Journal of agricultural and food chemistry,1986,10.1021/jf00072a019,https://doi.org/10.1021/jf00072a019,False
Journal of agricultural and food chemistry,1987,10.1021/jf00074a001,https://doi.org/10.1021/jf00074a001,False
Journal of agricultural and food chemistry,1988,10.1021/jf00081a022,https://doi.org/10.1021/jf00081a022,False
Journal of agricultural and food chemistry,1989,10.1021/jf00085a055,https://doi.org/10.1021/jf00085a055,False
Journal of agricultural and food chemistry,1990,10.1021/jf00092a011,https://doi.org/10.1021/jf00092a011,False
Journal of agricultural and food chemistry,1991,10.1021/jf00004a009,https://doi.org/10.1021/jf00004a009,False
Journal of agricultural and food chemistry,1992,10.1021/jf00022a054,https://doi.org/10.1021/jf00022a054,False
Journal of agricultural and food chemistry,1993,10.1021/jf00029a021,https://doi.org/10.1021/jf00029a021,False
Journal of agricultural and food chemistry,1994,10.1021/jf00048a012,https://doi.org/10.1021/jf00048a012,False
Journal of agricultural and food chemistry,1995,10.1021/jf00055a022,https://doi.org/10.1021/jf00055a022,False
