Name,Year,DOI,DOI-URL,Accessible
Journal of chemical information and modeling,1961,,https://doi.org/none,False
Journal of chemical information and modeling,1962,,https://doi.org/none,False
Journal of chemical information and modeling,1963,,https://doi.org/none,False
Journal of chemical information and modeling,1964,,https://doi.org/none,False
Journal of chemical information and modeling,1965,,https://doi.org/none,False
Journal of chemical information and modeling,1966,,https://doi.org/none,False
Journal of chemical information and modeling,1967,,https://doi.org/none,False
Journal of chemical information and modeling,1968,,https://doi.org/none,False
Journal of chemical information and modeling,1969,,https://doi.org/none,False
Journal of chemical information and modeling,1970,,https://doi.org/none,False
Journal of chemical information and modeling,1971,,https://doi.org/none,False
Journal of chemical information and modeling,1972,,https://doi.org/none,False
Journal of chemical information and modeling,1973,,https://doi.org/none,False
Journal of chemical information and modeling,1974,,https://doi.org/none,False
Journal of chemical information and modeling,1975,10.1021/ci60001a008,https://doi.org/10.1021/ci60001a008,False
Journal of chemical information and modeling,1976,10.1021/ci60007a600,https://doi.org/10.1021/ci60007a600,False
Journal of chemical information and modeling,1977,10.1021/ci60011a010,https://doi.org/10.1021/ci60011a010,False
Journal of chemical information and modeling,1978,10.1021/ci60015a001,https://doi.org/10.1021/ci60015a001,False
Journal of chemical information and modeling,1979,10.1021/ci60020a008,https://doi.org/10.1021/ci60020a008,False
Journal of chemical information and modeling,1980,10.1021/ci60023a603,https://doi.org/10.1021/ci60023a603,False
Journal of chemical information and modeling,1981,10.1021/ci00029a004,https://doi.org/10.1021/ci00029a004,False
Journal of chemical information and modeling,1982,10.1021/ci00034a008,https://doi.org/10.1021/ci00034a008,False
Journal of chemical information and modeling,1983,10.1021/ci00038a004,https://doi.org/10.1021/ci00038a004,False
Journal of chemical information and modeling,1984,10.1021/ci00044a002,https://doi.org/10.1021/ci00044a002,False
Journal of chemical information and modeling,1985,10.1021/ci00047a031,https://doi.org/10.1021/ci00047a031,False
Journal of chemical information and modeling,1986,10.1021/ci00052a600,https://doi.org/10.1021/ci00052a600,False
Journal of chemical information and modeling,1987,10.1021/ci00054a003,https://doi.org/10.1021/ci00054a003,False
Journal of chemical information and modeling,1988,10.1021/ci00060a007,https://doi.org/10.1021/ci00060a007,False
Journal of chemical information and modeling,1989,10.1021/ci00063a009,https://doi.org/10.1021/ci00063a009,False
Journal of chemical information and modeling,1990,10.1021/ci00065a009,https://doi.org/10.1021/ci00065a009,False
Journal of chemical information and modeling,1991,10.1021/ci00004a010,https://doi.org/10.1021/ci00004a010,False
Journal of chemical information and modeling,1992,10.1021/ci00005a010,https://doi.org/10.1021/ci00005a010,False
Journal of chemical information and modeling,1993,10.1021/ci00016a002,https://doi.org/10.1021/ci00016a002,False
Journal of chemical information and modeling,1994,10.1021/ci00018a004,https://doi.org/10.1021/ci00018a004,False
Journal of chemical information and modeling,1995,10.1021/ci00026a008,https://doi.org/10.1021/ci00026a008,False
