Name,Year,DOI,DOI-URL,Accessible
Journal of the American Chemical Society,1879,10.1021/ja02143a004,https://doi.org/10.1021/ja02143a004,False
Journal of the American Chemical Society,1880,10.1021/ja02132a601,https://doi.org/10.1021/ja02132a601,False
Journal of the American Chemical Society,1881,10.1021/ja02153a012,https://doi.org/10.1021/ja02153a012,False
Journal of the American Chemical Society,1882,10.1021/ja02154a008,https://doi.org/10.1021/ja02154a008,False
Journal of the American Chemical Society,1883,10.1021/ja02155a008,https://doi.org/10.1021/ja02155a008,False
Journal of the American Chemical Society,1884,10.1021/ja02131a612,https://doi.org/10.1021/ja02131a612,False
Journal of the American Chemical Society,1885,10.1021/ja02130a612,https://doi.org/10.1021/ja02130a612,False
Journal of the American Chemical Society,1886,10.1021/ja02129a017,https://doi.org/10.1021/ja02129a017,False
Journal of the American Chemical Society,1887,10.1021/ja02128a009,https://doi.org/10.1021/ja02128a009,False
Journal of the American Chemical Society,1888,10.1021/ja02127a601,https://doi.org/10.1021/ja02127a601,False
Journal of the American Chemical Society,1889,10.1021/ja02126a007,https://doi.org/10.1021/ja02126a007,False
Journal of the American Chemical Society,1890,10.1021/ja02125a006,https://doi.org/10.1021/ja02125a006,False
Journal of the American Chemical Society,1891,10.1021/ja02124a036,https://doi.org/10.1021/ja02124a036,False
Journal of the American Chemical Society,1892,10.1021/ja02123a600,https://doi.org/10.1021/ja02123a600,False
Journal of the American Chemical Society,1893,10.1021/ja02117a007,https://doi.org/10.1021/ja02117a007,False
Journal of the American Chemical Society,1894,10.1021/ja02105a009,https://doi.org/10.1021/ja02105a009,False
Journal of the American Chemical Society,1895,10.1021/ja02158a011,https://doi.org/10.1021/ja02158a011,False
Journal of the American Chemical Society,1896,10.1021/ja02093a006,https://doi.org/10.1021/ja02093a006,False
Journal of the American Chemical Society,1897,10.1021/ja02079a013,https://doi.org/10.1021/ja02079a013,False
Journal of the American Chemical Society,1898,10.1021/ja02073a011,https://doi.org/10.1021/ja02073a011,False
Journal of the American Chemical Society,1899,10.1021/ja02061a031,https://doi.org/10.1021/ja02061a031,False
Journal of the American Chemical Society,1900,10.1021/ja02048a009,https://doi.org/10.1021/ja02048a009,False
Journal of the American Chemical Society,1901,10.1021/ja02034a005,https://doi.org/10.1021/ja02034a005,False
Journal of the American Chemical Society,1902,10.1021/ja02026a013,https://doi.org/10.1021/ja02026a013,False
Journal of the American Chemical Society,1903,10.1021/ja02007a022,https://doi.org/10.1021/ja02007a022,False
Journal of the American Chemical Society,1904,10.1021/ja01998a012,https://doi.org/10.1021/ja01998a012,False
Journal of the American Chemical Society,1905,10.1021/ja01986a021,https://doi.org/10.1021/ja01986a021,False
Journal of the American Chemical Society,1906,10.1021/ja01975a015,https://doi.org/10.1021/ja01975a015,False
Journal of the American Chemical Society,1907,10.1021/ja01956a016,https://doi.org/10.1021/ja01956a016,False
Journal of the American Chemical Society,1908,10.1021/ja01951a034,https://doi.org/10.1021/ja01951a034,False
Journal of the American Chemical Society,1909,10.1021/ja01935a016,https://doi.org/10.1021/ja01935a016,False
Journal of the American Chemical Society,1910,10.1021/ja01927a006,https://doi.org/10.1021/ja01927a006,False
Journal of the American Chemical Society,1911,10.1021/ja02220a600,https://doi.org/10.1021/ja02220a600,False
Journal of the American Chemical Society,1912,10.1021/ja02206a019,https://doi.org/10.1021/ja02206a019,False
Journal of the American Chemical Society,1913,10.1021/ja02192a011,https://doi.org/10.1021/ja02192a011,False
Journal of the American Chemical Society,1914,10.1021/ja02188a012,https://doi.org/10.1021/ja02188a012,False
Journal of the American Chemical Society,1915,10.1021/ja02173a017,https://doi.org/10.1021/ja02173a017,False
Journal of the American Chemical Society,1916,10.1021/ja02259a034,https://doi.org/10.1021/ja02259a034,False
Journal of the American Chemical Society,1917,10.1021/ja02255a008,https://doi.org/10.1021/ja02255a008,False
Journal of the American Chemical Society,1918,10.1021/ja02245a011,https://doi.org/10.1021/ja02245a011,False
Journal of the American Chemical Society,1919,10.1021/ja02228a011,https://doi.org/10.1021/ja02228a011,False
Journal of the American Chemical Society,1920,10.1021/ja01456a009,https://doi.org/10.1021/ja01456a009,False
Journal of the American Chemical Society,1921,10.1021/ja01437a002,https://doi.org/10.1021/ja01437a002,False
Journal of the American Chemical Society,1922,10.1021/ja01424a010,https://doi.org/10.1021/ja01424a010,False
Journal of the American Chemical Society,1923,10.1021/ja01657a032,https://doi.org/10.1021/ja01657a032,False
Journal of the American Chemical Society,1924,10.1021/ja01674a017,https://doi.org/10.1021/ja01674a017,False
Journal of the American Chemical Society,1925,10.1021/ja01682a024,https://doi.org/10.1021/ja01682a024,False
Journal of the American Chemical Society,1926,10.1021/ja01420a004,https://doi.org/10.1021/ja01420a004,False
Journal of the American Chemical Society,1927,10.1021/ja01405a002,https://doi.org/10.1021/ja01405a002,False
Journal of the American Chemical Society,1928,10.1021/ja01397a005,https://doi.org/10.1021/ja01397a005,False
Journal of the American Chemical Society,1929,10.1021/ja01378a020,https://doi.org/10.1021/ja01378a020,False
Journal of the American Chemical Society,1930,10.1021/ja01364a030,https://doi.org/10.1021/ja01364a030,False
Journal of the American Chemical Society,1931,10.1021/ja01354a047,https://doi.org/10.1021/ja01354a047,False
Journal of the American Chemical Society,1932,10.1021/ja01341a520,https://doi.org/10.1021/ja01341a520,False
Journal of the American Chemical Society,1933,10.1021/ja01335a017,https://doi.org/10.1021/ja01335a017,False
Journal of the American Chemical Society,1934,10.1021/ja01318a509,https://doi.org/10.1021/ja01318a509,False
Journal of the American Chemical Society,1935,10.1021/ja01309a005,https://doi.org/10.1021/ja01309a005,False
Journal of the American Chemical Society,1936,10.1021/ja01297a050,https://doi.org/10.1021/ja01297a050,False
Journal of the American Chemical Society,1937,10.1021/ja01291a055,https://doi.org/10.1021/ja01291a055,False
Journal of the American Chemical Society,1938,10.1021/ja01279a048,https://doi.org/10.1021/ja01279a048,False
Journal of the American Chemical Society,1939,10.1021/ja01876a069,https://doi.org/10.1021/ja01876a069,False
Journal of the American Chemical Society,1940,10.1021/ja01864a030,https://doi.org/10.1021/ja01864a030,False
Journal of the American Chemical Society,1941,10.1021/ja01850a080,https://doi.org/10.1021/ja01850a080,False
Journal of the American Chemical Society,1942,10.1021/ja01259a076,https://doi.org/10.1021/ja01259a076,False
Journal of the American Chemical Society,1943,10.1021/ja01244a501,https://doi.org/10.1021/ja01244a501,False
Journal of the American Chemical Society,1944,10.1021/ja01229a504,https://doi.org/10.1021/ja01229a504,False
Journal of the American Chemical Society,1945,10.1021/ja01226a034,https://doi.org/10.1021/ja01226a034,False
Journal of the American Chemical Society,1946,10.1021/ja01215a055,https://doi.org/10.1021/ja01215a055,False
Journal of the American Chemical Society,1947,10.1021/ja01193a051,https://doi.org/10.1021/ja01193a051,False
Journal of the American Chemical Society,1948,10.1021/ja01185a051,https://doi.org/10.1021/ja01185a051,False
Journal of the American Chemical Society,1949,10.1021/ja01169a072,https://doi.org/10.1021/ja01169a072,False
Journal of the American Chemical Society,1950,10.1021/ja01168a524,https://doi.org/10.1021/ja01168a524,False
Journal of the American Chemical Society,1951,10.1021/ja01145a149,https://doi.org/10.1021/ja01145a149,False
Journal of the American Chemical Society,1952,10.1021/ja01130a029,https://doi.org/10.1021/ja01130a029,False
Journal of the American Chemical Society,1953,10.1021/ja01102a523,https://doi.org/10.1021/ja01102a523,False
Journal of the American Chemical Society,1954,10.1021/ja01650a001,https://doi.org/10.1021/ja01650a001,False
Journal of the American Chemical Society,1955,10.1021/ja01607a098,https://doi.org/10.1021/ja01607a098,False
Journal of the American Chemical Society,1956,10.1021/ja01582a056,https://doi.org/10.1021/ja01582a056,False
Journal of the American Chemical Society,1957,10.1021/ja01578a037,https://doi.org/10.1021/ja01578a037,False
Journal of the American Chemical Society,1958,10.1021/ja01557a605,https://doi.org/10.1021/ja01557a605,False
Journal of the American Chemical Society,1959,10.1021/ja01533a653,https://doi.org/10.1021/ja01533a653,False
Journal of the American Chemical Society,1960,10.1021/ja01492a041,https://doi.org/10.1021/ja01492a041,False
Journal of the American Chemical Society,1961,10.1021/ja01485a008,https://doi.org/10.1021/ja01485a008,False
Journal of the American Chemical Society,1962,10.1021/ja00871a024,https://doi.org/10.1021/ja00871a024,False
Journal of the American Chemical Society,1963,10.1021/ja00898a021,https://doi.org/10.1021/ja00898a021,False
Journal of the American Chemical Society,1964,10.1021/ja01056a055,https://doi.org/10.1021/ja01056a055,False
Journal of the American Chemical Society,1965,10.1021/ja01089a026,https://doi.org/10.1021/ja01089a026,False
Journal of the American Chemical Society,1966,10.1021/ja00974a039,https://doi.org/10.1021/ja00974a039,False
Journal of the American Chemical Society,1967,10.1021/ja00995a009,https://doi.org/10.1021/ja00995a009,False
Journal of the American Chemical Society,1968,10.1021/ja01004a700,https://doi.org/10.1021/ja01004a700,False
Journal of the American Chemical Society,1969,10.1021/ja01049a700,https://doi.org/10.1021/ja01049a700,False
Journal of the American Chemical Society,1970,10.1021/ja00705a002,https://doi.org/10.1021/ja00705a002,False
Journal of the American Chemical Society,1971,10.1021/ja00734a700,https://doi.org/10.1021/ja00734a700,False
Journal of the American Chemical Society,1972,10.1021/ja00773a700,https://doi.org/10.1021/ja00773a700,False
Journal of the American Chemical Society,1973,10.1021/ja00782a700,https://doi.org/10.1021/ja00782a700,False
Journal of the American Chemical Society,1974,10.1021/ja00811a700,https://doi.org/10.1021/ja00811a700,False
Journal of the American Chemical Society,1975,10.1021/ja00854a700,https://doi.org/10.1021/ja00854a700,False
Journal of the American Chemical Society,1976,10.1021/ja00427a700,https://doi.org/10.1021/ja00427a700,False
Journal of the American Chemical Society,1977,10.1021/ja00465a700,https://doi.org/10.1021/ja00465a700,False
Journal of the American Chemical Society,1978,10.1021/ja00490a700,https://doi.org/10.1021/ja00490a700,False
Journal of the American Chemical Society,1979,10.1021/ja00495a700,https://doi.org/10.1021/ja00495a700,False
Journal of the American Chemical Society,1980,10.1021/ja00542a700,https://doi.org/10.1021/ja00542a700,False
Journal of the American Chemical Society,1981,10.1021/ja00392a700,https://doi.org/10.1021/ja00392a700,False
Journal of the American Chemical Society,1982,10.1021/ja00379a700,https://doi.org/10.1021/ja00379a700,False
Journal of the American Chemical Society,1983,10.1021/ja00353a700,https://doi.org/10.1021/ja00353a700,False
Journal of the American Chemical Society,1984,10.1021/ja00333a700,https://doi.org/10.1021/ja00333a700,False
Journal of the American Chemical Society,1985,10.1021/ja00304a700,https://doi.org/10.1021/ja00304a700,False
Journal of the American Chemical Society,1986,10.1021/ja00269a002,https://doi.org/10.1021/ja00269a002,False
Journal of the American Chemical Society,1987,10.1021/ja00242a700,https://doi.org/10.1021/ja00242a700,False
Journal of the American Chemical Society,1988,10.1021/ja00226a009,https://doi.org/10.1021/ja00226a009,False
Journal of the American Chemical Society,1989,10.1021/ja00189a700,https://doi.org/10.1021/ja00189a700,False
Journal of the American Chemical Society,1990,10.1021/ja00180a700,https://doi.org/10.1021/ja00180a700,False
Journal of the American Chemical Society,1991,10.1021/ja00016a700,https://doi.org/10.1021/ja00016a700,False
Journal of the American Chemical Society,1992,10.1021/ja00046a700,https://doi.org/10.1021/ja00046a700,False
Journal of the American Chemical Society,1993,10.1021/ja00079a700,https://doi.org/10.1021/ja00079a700,False
Journal of the American Chemical Society,1994,10.1021/ja00086a700,https://doi.org/10.1021/ja00086a700,False
Journal of the American Chemical Society,1995,10.1021/ja00138a700,https://doi.org/10.1021/ja00138a700,False
