Name,Year,DOI,DOI-URL,Accessible
The Journal of Physical Chemistry,1896,10.1021/j150584a600,https://doi.org/10.1021/j150584a600,False
The Journal of Physical Chemistry,1897,10.1021/j150588a005,https://doi.org/10.1021/j150588a005,False
The Journal of Physical Chemistry,1898,10.1021/j150003a001,https://doi.org/10.1021/j150003a001,False
The Journal of Physical Chemistry,1899,10.1021/j150024a003,https://doi.org/10.1021/j150024a003,False
The Journal of Physical Chemistry,1900,10.1021/j150028a617,https://doi.org/10.1021/j150028a617,False
The Journal of Physical Chemistry,1901,10.1021/j150042a003,https://doi.org/10.1021/j150042a003,False
The Journal of Physical Chemistry,1902,10.1021/j150047a004,https://doi.org/10.1021/j150047a004,False
The Journal of Physical Chemistry,1903,10.1021/j150061a008,https://doi.org/10.1021/j150061a008,False
The Journal of Physical Chemistry,1904,10.1021/j150071a002,https://doi.org/10.1021/j150071a002,False
The Journal of Physical Chemistry,1905,10.1021/j150080a002,https://doi.org/10.1021/j150080a002,False
The Journal of Physical Chemistry,1906,10.1021/j150090a002,https://doi.org/10.1021/j150090a002,False
The Journal of Physical Chemistry,1907,10.1021/j150093a003,https://doi.org/10.1021/j150093a003,False
The Journal of Physical Chemistry,1908,10.1021/j150107a009,https://doi.org/10.1021/j150107a009,False
The Journal of Physical Chemistry,1909,10.1021/j150112a004,https://doi.org/10.1021/j150112a004,False
The Journal of Physical Chemistry,1910,10.1021/j150119a003,https://doi.org/10.1021/j150119a003,False
The Journal of Physical Chemistry,1911,10.1021/j150132a006,https://doi.org/10.1021/j150132a006,False
The Journal of Physical Chemistry,1912,10.1021/j150141a004,https://doi.org/10.1021/j150141a004,False
The Journal of Physical Chemistry,1913,10.1021/j150149a003,https://doi.org/10.1021/j150149a003,False
The Journal of Physical Chemistry,1914,10.1021/j150155a005,https://doi.org/10.1021/j150155a005,False
The Journal of Physical Chemistry,1915,10.1021/j150167a005,https://doi.org/10.1021/j150167a005,False
The Journal of Physical Chemistry,1916,10.1021/j150175a007,https://doi.org/10.1021/j150175a007,False
The Journal of Physical Chemistry,1917,10.1021/j150186a005,https://doi.org/10.1021/j150186a005,False
The Journal of Physical Chemistry,1918,10.1021/j150197a003,https://doi.org/10.1021/j150197a003,False
The Journal of Physical Chemistry,1919,10.1021/j150206a004,https://doi.org/10.1021/j150206a004,False
The Journal of Physical Chemistry,1920,10.1021/j150209a003,https://doi.org/10.1021/j150209a003,False
The Journal of Physical Chemistry,1921,10.1021/j150219a004,https://doi.org/10.1021/j150219a004,False
The Journal of Physical Chemistry,1922,10.1021/j150231a002,https://doi.org/10.1021/j150231a002,False
The Journal of Physical Chemistry,1923,10.1021/j150235a010,https://doi.org/10.1021/j150235a010,False
The Journal of Physical Chemistry,1924,10.1021/j150255a001,https://doi.org/10.1021/j150255a001,False
The Journal of Physical Chemistry,1925,10.1021/j150264a010,https://doi.org/10.1021/j150264a010,False
The Journal of Physical Chemistry,1926,10.1021/j150273a005,https://doi.org/10.1021/j150273a005,False
The Journal of Physical Chemistry,1927,10.1021/j150287a007,https://doi.org/10.1021/j150287a007,False
The Journal of Physical Chemistry,1928,10.1021/j150301a010,https://doi.org/10.1021/j150301a010,False
The Journal of Physical Chemistry,1929,10.1021/j150310a007,https://doi.org/10.1021/j150310a007,False
The Journal of Physical Chemistry,1930,10.1021/j150327a010,https://doi.org/10.1021/j150327a010,False
The Journal of Physical Chemistry,1931,10.1021/j150331a006,https://doi.org/10.1021/j150331a006,False
The Journal of Physical Chemistry,1932,10.1021/j150344a005,https://doi.org/10.1021/j150344a005,False
The Journal of Physical Chemistry,1933,10.1021/j150356a007,https://doi.org/10.1021/j150356a007,False
The Journal of Physical Chemistry,1934,10.1021/j150367a004,https://doi.org/10.1021/j150367a004,False
The Journal of Physical Chemistry,1935,10.1021/j150376a009,https://doi.org/10.1021/j150376a009,False
The Journal of Physical Chemistry,1936,,https://doi.org/none,False
The Journal of Physical Chemistry,1937,10.1021/j100903a010,https://doi.org/10.1021/j100903a010,False
The Journal of Physical Chemistry,1938,,https://doi.org/none,False
The Journal of Physical Chemistry,1939,10.1021/j150392a005,https://doi.org/10.1021/j150392a005,False
The Journal of Physical Chemistry,1940,10.1021/j150401a012,https://doi.org/10.1021/j150401a012,False
The Journal of Physical Chemistry,1941,10.1021/j150407a012,https://doi.org/10.1021/j150407a012,False
The Journal of Physical Chemistry,1942,10.1021/j150417a014,https://doi.org/10.1021/j150417a014,False
The Journal of Physical Chemistry,1943,10.1021/j150426a008,https://doi.org/10.1021/j150426a008,False
The Journal of Physical Chemistry,1944,10.1021/j150436a016,https://doi.org/10.1021/j150436a016,False
The Journal of Physical Chemistry,1945,10.1021/j150443a012,https://doi.org/10.1021/j150443a012,False
The Journal of Physical Chemistry,1946,10.1021/j150445a013,https://doi.org/10.1021/j150445a013,False
