Name,Year,DOI,DOI-URL,Accessible
ACS Chemical Biology,2006,10.1021/cb600431a,https://doi.org/10.1021/cb600431a,False
ACS Chemical Biology,2007,10.1021/cb600433g,https://doi.org/10.1021/cb600433g,False
ACS Chemical Biology,2008,10.1021/cb8002896,https://doi.org/10.1021/cb8002896,False
ACS Chemical Biology,2009,10.1021/cb900121r,https://doi.org/10.1021/cb900121r,False
ACS Chemical Biology,2010,10.1021/cb900248n,https://doi.org/10.1021/cb900248n,False
ACS Chemical Biology,2011,10.1021/cb100399x,https://doi.org/10.1021/cb100399x,False
ACS Chemical Biology,2012,10.1021/cb300065w,https://doi.org/10.1021/cb300065w,False
ACS Chemical Biology,2013,10.1021/cb4003464,https://doi.org/10.1021/cb4003464,False
ACS Chemical Biology,2014,10.1021/cb500577j,https://doi.org/10.1021/cb500577j,False
ACS Chemical Biology,2015,10.1021/acschembio.5b00216,https://doi.org/10.1021/acschembio.5b00216,False
ACS Chemical Biology,2016,10.1021/acschembio.6b00172,https://doi.org/10.1021/acschembio.6b00172,False
ACS Chemical Biology,2017,10.1021/acschembio.7b00869,https://doi.org/10.1021/acschembio.7b00869,False
ACS Chemical Biology,2018,10.1021/acschembio.8b00712,https://doi.org/10.1021/acschembio.8b00712,False
ACS Chemical Biology,2019,10.1021/acschembio.8b00972,https://doi.org/10.1021/acschembio.8b00972,False
