Name,Year,DOI,DOI-URL,Accessible
ACS Nano,2007,10.1021/nn7001486,https://doi.org/10.1021/nn7001486,False
ACS Nano,2008,10.1021/nn800066k,https://doi.org/10.1021/nn800066k,False
ACS Nano,2009,10.1021/nn901192g,https://doi.org/10.1021/nn901192g,False
ACS Nano,2010,10.1021/nn100465s,https://doi.org/10.1021/nn100465s,False
ACS Nano,2011,10.1021/nn203160n,https://doi.org/10.1021/nn203160n,False
ACS Nano,2012,10.1021/nn304131d,https://doi.org/10.1021/nn304131d,False
ACS Nano,2013,10.1021/nn403158n,https://doi.org/10.1021/nn403158n,False
ACS Nano,2014,10.1021/nn5009066,https://doi.org/10.1021/nn5009066,False
ACS Nano,2015,10.1021/nn506745r,https://doi.org/10.1021/nn506745r,False
ACS Nano,2016,10.1021/acsnano.5b07968,https://doi.org/10.1021/acsnano.5b07968,False
ACS Nano,2017,10.1021/acsnano.6b06534,https://doi.org/10.1021/acsnano.6b06534,False
ACS Nano,2018,10.1021/acsnano.7b05391,https://doi.org/10.1021/acsnano.7b05391,False
ACS Nano,2019,10.1021/acsnano.8b08445,https://doi.org/10.1021/acsnano.8b08445,False
