Name,Year,DOI,DOI-URL,Accessible
Accounts of chemical research,1996,10.1021/ar950152c,https://doi.org/10.1021/ar950152c,False
Accounts of chemical research,1997,10.1021/ar960260e,https://doi.org/10.1021/ar960260e,False
Accounts of chemical research,1998,10.1021/ar970069k,https://doi.org/10.1021/ar970069k,False
Accounts of chemical research,1999,10.1021/ar970148w,https://doi.org/10.1021/ar970148w,False
Accounts of chemical research,2000,10.1021/ar990028j,https://doi.org/10.1021/ar990028j,False
Accounts of chemical research,2001,10.1021/ar000209h,https://doi.org/10.1021/ar000209h,False
Accounts of chemical research,2002,10.1021/ar950230w,https://doi.org/10.1021/ar950230w,False
Accounts of chemical research,2003,10.1021/ar0201153,https://doi.org/10.1021/ar0201153,False
Accounts of chemical research,2004,10.1021/ar020177t,https://doi.org/10.1021/ar020177t,False
Accounts of chemical research,2005,10.1021/ar980025r,https://doi.org/10.1021/ar980025r,False
Accounts of chemical research,2006,10.1021/ar040243m,https://doi.org/10.1021/ar040243m,False
Accounts of chemical research,2007,10.1021/ar700160p,https://doi.org/10.1021/ar700160p,False
Accounts of chemical research,2008,10.1021/ar800126p,https://doi.org/10.1021/ar800126p,False
Accounts of chemical research,2009,10.1021/ar9001284,https://doi.org/10.1021/ar9001284,False
Accounts of chemical research,2010,10.1021/ar900279d,https://doi.org/10.1021/ar900279d,False
Accounts of chemical research,2011,10.1021/ar2001167,https://doi.org/10.1021/ar2001167,False
Accounts of chemical research,2012,10.1021/ar300069t,https://doi.org/10.1021/ar300069t,False
Accounts of chemical research,2013,10.1021/ar400027c,https://doi.org/10.1021/ar400027c,False
Accounts of chemical research,2014,10.1021/ar5001617,https://doi.org/10.1021/ar5001617,False
Accounts of chemical research,2015,10.1021/ar500396a,https://doi.org/10.1021/ar500396a,False
Accounts of chemical research,2016,10.1021/acs.accounts.6b00041,https://doi.org/10.1021/acs.accounts.6b00041,False
Accounts of chemical research,2017,10.1021/acs.accounts.7b00305,https://doi.org/10.1021/acs.accounts.7b00305,False
Accounts of chemical research,2018,10.1021/acs.accounts.7b00622,https://doi.org/10.1021/acs.accounts.7b00622,False
Accounts of chemical research,2019,10.1021/acs.accounts.8b00571,https://doi.org/10.1021/acs.accounts.8b00571,False
