Name,Year,DOI,DOI-URL,Accessible
Biochemistry (ACS),1996,10.1021/bi951600r,https://doi.org/10.1021/bi951600r,False
Biochemistry (ACS),1997,10.1021/bi961794q,https://doi.org/10.1021/bi961794q,False
Biochemistry (ACS),1998,10.1021/bi9811258,https://doi.org/10.1021/bi9811258,False
Biochemistry (ACS),1999,10.1021/bi982435t,https://doi.org/10.1021/bi982435t,False
Biochemistry (ACS),2000,10.1021/bi9923555,https://doi.org/10.1021/bi9923555,False
Biochemistry (ACS),2001,10.1021/bi010060x,https://doi.org/10.1021/bi010060x,False
Biochemistry (ACS),2002,10.1021/bi011824b,https://doi.org/10.1021/bi011824b,False
Biochemistry (ACS),2003,10.1021/bi0345687,https://doi.org/10.1021/bi0345687,False
Biochemistry (ACS),2004,10.1021/bi049344i,https://doi.org/10.1021/bi049344i,False
Biochemistry (ACS),2005,10.1021/bi047372v,https://doi.org/10.1021/bi047372v,False
Biochemistry (ACS),2006,10.1021/bi060885c,https://doi.org/10.1021/bi060885c,False
Biochemistry (ACS),2007,10.1021/bi602425c,https://doi.org/10.1021/bi602425c,False
Biochemistry (ACS),2008,10.1021/bi801059j,https://doi.org/10.1021/bi801059j,False
Biochemistry (ACS),2009,10.1021/bi802178k,https://doi.org/10.1021/bi802178k,False
Biochemistry (ACS),2010,10.1021/bi9020346,https://doi.org/10.1021/bi9020346,False
Biochemistry (ACS),2011,10.1021/bi2001664,https://doi.org/10.1021/bi2001664,False
Biochemistry (ACS),2012,10.1021/bi300672s,https://doi.org/10.1021/bi300672s,False
Biochemistry (ACS),2013,10.1021/bi400151c,https://doi.org/10.1021/bi400151c,False
Biochemistry (ACS),2014,10.1021/bi500589x,https://doi.org/10.1021/bi500589x,False
Biochemistry (ACS),2015,10.1021/acs.biochem.5b00958,https://doi.org/10.1021/acs.biochem.5b00958,False
Biochemistry (ACS),2016,10.1021/acs.biochem.6b00826,https://doi.org/10.1021/acs.biochem.6b00826,False
Biochemistry (ACS),2017,10.1021/acs.biochem.7b00502,https://doi.org/10.1021/acs.biochem.7b00502,False
Biochemistry (ACS),2018,10.1021/biv057i031_1209071,https://doi.org/10.1021/biv057i031_1209071,False
Biochemistry (ACS),2019,10.1021/acs.biochem.8b01050,https://doi.org/10.1021/acs.biochem.8b01050,False
