Name,Year,DOI,DOI-URL,Accessible
Chemical Research in Toxicology,1996,none,https://doi.org/none,False
Chemical Research in Toxicology,1997,10.1021/tx960193x,https://doi.org/10.1021/tx960193x,False
Chemical Research in Toxicology,1998,10.1021/tx970157d,https://doi.org/10.1021/tx970157d,False
Chemical Research in Toxicology,1999,10.1021/tx980261a,https://doi.org/10.1021/tx980261a,False
Chemical Research in Toxicology,2000,10.1021/tx0000623,https://doi.org/10.1021/tx0000623,False
Chemical Research in Toxicology,2001,10.1021/tx0100237,https://doi.org/10.1021/tx0100237,False
Chemical Research in Toxicology,2002,10.1021/tx025558u,https://doi.org/10.1021/tx025558u,False
Chemical Research in Toxicology,2003,10.1021/tx030026e,https://doi.org/10.1021/tx030026e,False
Chemical Research in Toxicology,2004,10.1021/tx0341409,https://doi.org/10.1021/tx0341409,False
Chemical Research in Toxicology,2005,10.1021/tx049802o,https://doi.org/10.1021/tx049802o,False
Chemical Research in Toxicology,2006,10.1021/tx050341w,https://doi.org/10.1021/tx050341w,False
Chemical Research in Toxicology,2007,10.1021/tx060197u,https://doi.org/10.1021/tx060197u,False
Chemical Research in Toxicology,2008,10.1021/tx800268f,https://doi.org/10.1021/tx800268f,False
Chemical Research in Toxicology,2009,10.1021/tx9002758,https://doi.org/10.1021/tx9002758,False
Chemical Research in Toxicology,2010,10.1021/tx9002484,https://doi.org/10.1021/tx9002484,False
Chemical Research in Toxicology,2011,10.1021/tx2001042,https://doi.org/10.1021/tx2001042,False
Chemical Research in Toxicology,2012,10.1021/tx200560x,https://doi.org/10.1021/tx200560x,False
Chemical Research in Toxicology,2013,10.1021/tx3003438,https://doi.org/10.1021/tx3003438,False
Chemical Research in Toxicology,2014,10.1021/tx500019u,https://doi.org/10.1021/tx500019u,False
Chemical Research in Toxicology,2015,10.1021/tx500489r,https://doi.org/10.1021/tx500489r,False
Chemical Research in Toxicology,2016,10.1021/acs.chemrestox.6b00275,https://doi.org/10.1021/acs.chemrestox.6b00275,False
Chemical Research in Toxicology,2017,10.1021/acs.chemrestox.7b00158,https://doi.org/10.1021/acs.chemrestox.7b00158,False
Chemical Research in Toxicology,2018,10.1021/acs.chemrestox.8b00186,https://doi.org/10.1021/acs.chemrestox.8b00186,False
Chemical Research in Toxicology,2019,10.1021/acs.chemrestox.9b00007,https://doi.org/10.1021/acs.chemrestox.9b00007,False
