Name,Year,DOI,DOI-URL,Accessible
Chemical reviews,1996,10.1021/cr00039a900,https://doi.org/10.1021/cr00039a900,False
Chemical reviews,1997,10.1021/cr960025+,https://doi.org/10.1021/cr960025+,False
Chemical reviews,1998,10.1021/cr960040e,https://doi.org/10.1021/cr960040e,False
Chemical reviews,1999,10.1021/cr980415r,https://doi.org/10.1021/cr980415r,False
Chemical reviews,2000,10.1021/cr990248a,https://doi.org/10.1021/cr990248a,False
Chemical reviews,2001,10.1021/cr000086e,https://doi.org/10.1021/cr000086e,False
Chemical reviews,2002,10.1021/cr010370l,https://doi.org/10.1021/cr010370l,False
Chemical reviews,2003,10.1021/cr020704m,https://doi.org/10.1021/cr020704m,False
Chemical reviews,2004,10.1021/cr030419i,https://doi.org/10.1021/cr030419i,False
Chemical reviews,2005,10.1021/cr030049y,https://doi.org/10.1021/cr030049y,False
Chemical reviews,2006,10.1021/cr040095d,https://doi.org/10.1021/cr040095d,False
Chemical reviews,2007,10.1021/cr050992x,https://doi.org/10.1021/cr050992x,False
Chemical reviews,2008,10.1021/cr0783986,https://doi.org/10.1021/cr0783986,False
Chemical reviews,2009,10.1021/cr900028p,https://doi.org/10.1021/cr900028p,False
Chemical reviews,2010,10.1021/cr9002424,https://doi.org/10.1021/cr9002424,False
Chemical reviews,2011,10.1021/cr2003147,https://doi.org/10.1021/cr2003147,False
Chemical reviews,2012,10.1021/cr100359d,https://doi.org/10.1021/cr100359d,False
Chemical reviews,2013,10.1021/cr300163e,https://doi.org/10.1021/cr300163e,False
Chemical reviews,2014,10.1021/cr500233q,https://doi.org/10.1021/cr500233q,False
Chemical reviews,2015,10.1021/acs.chemrev.5b00402,https://doi.org/10.1021/acs.chemrev.5b00402,False
Chemical reviews,2016,10.1021/acs.chemrev.6b00345,https://doi.org/10.1021/acs.chemrev.6b00345,False
Chemical reviews,2017,10.1021/crv117i004_923408,https://doi.org/10.1021/crv117i004_923408,False
Chemical reviews,2018,10.1021/acs.chemrev.8b00306,https://doi.org/10.1021/acs.chemrev.8b00306,False
Chemical reviews,2019,10.1021/acs.chemrev.8b00392,https://doi.org/10.1021/acs.chemrev.8b00392,False
