Name,Year,DOI,DOI-URL,Accessible
Chemistry of materials,1996,none,https://doi.org/none,False
Chemistry of materials,1997,10.1021/cm960594y,https://doi.org/10.1021/cm960594y,False
Chemistry of materials,1998,10.1021/cm9801993,https://doi.org/10.1021/cm9801993,False
Chemistry of materials,1999,10.1021/cm990360p,https://doi.org/10.1021/cm990360p,False
Chemistry of materials,2000,10.1021/cm0001915,https://doi.org/10.1021/cm0001915,False
Chemistry of materials,2001,10.1021/cm000983z,https://doi.org/10.1021/cm000983z,False
Chemistry of materials,2002,10.1021/cm0116471,https://doi.org/10.1021/cm0116471,False
Chemistry of materials,2003,10.1021/cm034116g,https://doi.org/10.1021/cm034116g,False
Chemistry of materials,2004,10.1021/cm035028z,https://doi.org/10.1021/cm035028z,False
Chemistry of materials,2005,10.1021/cm048057y,https://doi.org/10.1021/cm048057y,False
Chemistry of materials,2006,10.1021/cm0600879,https://doi.org/10.1021/cm0600879,False
Chemistry of materials,2007,10.1021/cm062913j,https://doi.org/10.1021/cm062913j,False
Chemistry of materials,2008,10.1021/cm8010265,https://doi.org/10.1021/cm8010265,False
Chemistry of materials,2009,10.1021/cm9006603,https://doi.org/10.1021/cm9006603,False
Chemistry of materials,2010,10.1021/cm100189t,https://doi.org/10.1021/cm100189t,False
Chemistry of materials,2011,10.1021/cm2029855,https://doi.org/10.1021/cm2029855,False
Chemistry of materials,2012,10.1021/cm203216m,https://doi.org/10.1021/cm203216m,False
Chemistry of materials,2013,10.1021/cm4012052,https://doi.org/10.1021/cm4012052,False
Chemistry of materials,2014,10.1021/cm403345a,https://doi.org/10.1021/cm403345a,False
Chemistry of materials,2015,10.1021/acs.chemmater.5b00990,https://doi.org/10.1021/acs.chemmater.5b00990,False
Chemistry of materials,2016,10.1021/acs.chemmater.6b02109,https://doi.org/10.1021/acs.chemmater.6b02109,False
Chemistry of materials,2017,10.1021/acs.chemmater.6b04230,https://doi.org/10.1021/acs.chemmater.6b04230,False
Chemistry of materials,2018,10.1021/cmv030i007_1181358,https://doi.org/10.1021/cmv030i007_1181358,False
Chemistry of materials,2019,10.1021/acs.chemmater.8b05073,https://doi.org/10.1021/acs.chemmater.8b05073,False
