Name,Year,DOI,DOI-URL,Accessible
Crystal growth & design,2001,10.1021/cg010009s,https://doi.org/10.1021/cg010009s,False
Crystal growth & design,2002,10.1021/cg020017o,https://doi.org/10.1021/cg020017o,False
Crystal growth & design,2003,10.1021/cg020069d,https://doi.org/10.1021/cg020069d,False
Crystal growth & design,2004,10.1021/cg049954h,https://doi.org/10.1021/cg049954h,False
Crystal growth & design,2005,10.1021/cg049683a,https://doi.org/10.1021/cg049683a,False
Crystal growth & design,2006,10.1021/cg0600647,https://doi.org/10.1021/cg0600647,False
Crystal growth & design,2007,10.1021/cg700961b,https://doi.org/10.1021/cg700961b,False
Crystal growth & design,2008,10.1021/cg701148z,https://doi.org/10.1021/cg701148z,False
Crystal growth & design,2009,10.1021/cg800595v,https://doi.org/10.1021/cg800595v,False
Crystal growth & design,2010,10.1021/cg901480y,https://doi.org/10.1021/cg901480y,False
Crystal growth & design,2011,10.1021/cg101380j,https://doi.org/10.1021/cg101380j,False
Crystal growth & design,2012,10.1021/cg201636g,https://doi.org/10.1021/cg201636g,False
Crystal growth & design,2013,10.1021/cg400523w,https://doi.org/10.1021/cg400523w,False
Crystal growth & design,2014,10.1021/cg5005159,https://doi.org/10.1021/cg5005159,False
Crystal growth & design,2015,10.1021/acs.cgd.5b00727,https://doi.org/10.1021/acs.cgd.5b00727,False
Crystal growth & design,2016,10.1021/acs.cgd.6b01146,https://doi.org/10.1021/acs.cgd.6b01146,False
Crystal growth & design,2017,10.1021/acs.cgd.6b01749,https://doi.org/10.1021/acs.cgd.6b01749,False
Crystal growth & design,2018,10.1021/acs.cgd.8b01234,https://doi.org/10.1021/acs.cgd.8b01234,False
Crystal growth & design,2019,10.1021/acs.cgd.8b01175,https://doi.org/10.1021/acs.cgd.8b01175,False
