Name,Year,DOI,DOI-URL,Accessible
Energy & fuels,1996,10.1021/ef9501511,https://doi.org/10.1021/ef9501511,False
Energy & fuels,1997,10.1021/ef970001l,https://doi.org/10.1021/ef970001l,False
Energy & fuels,1998,10.1021/ef980115c,https://doi.org/10.1021/ef980115c,False
Energy & fuels,1999,10.1021/ef980070f,https://doi.org/10.1021/ef980070f,False
Energy & fuels,2000,10.1021/ef9901241,https://doi.org/10.1021/ef9901241,False
Energy & fuels,2001,10.1021/ef010096y,https://doi.org/10.1021/ef010096y,False
Energy & fuels,2002,10.1021/ef0101208,https://doi.org/10.1021/ef0101208,False
Energy & fuels,2003,10.1021/ef010275f,https://doi.org/10.1021/ef010275f,False
Energy & fuels,2004,10.1021/ef049901+,https://doi.org/10.1021/ef049901+,False
Energy & fuels,2005,10.1021/ef0498824,https://doi.org/10.1021/ef0498824,False
Energy & fuels,2006,10.1021/ef060189l,https://doi.org/10.1021/ef060189l,False
Energy & fuels,2007,10.1021/ef0700127,https://doi.org/10.1021/ef0700127,False
Energy & fuels,2008,10.1021/ef700272m,https://doi.org/10.1021/ef700272m,False
Energy & fuels,2009,10.1021/ef900062e,https://doi.org/10.1021/ef900062e,False
Energy & fuels,2010,10.1021/ef100478y,https://doi.org/10.1021/ef100478y,False
Energy & fuels,2011,10.1021/ef2004255,https://doi.org/10.1021/ef2004255,False
Energy & fuels,2012,10.1021/ef201525k,https://doi.org/10.1021/ef201525k,False
Energy & fuels,2013,10.1021/ef301932y,https://doi.org/10.1021/ef301932y,False
Energy & fuels,2014,10.1021/ef501851y,https://doi.org/10.1021/ef501851y,False
Energy & fuels,2015,10.1021/acs.energyfuels.5b01242,https://doi.org/10.1021/acs.energyfuels.5b01242,False
Energy & fuels,2016,10.1021/acs.energyfuels.6b02305,https://doi.org/10.1021/acs.energyfuels.6b02305,False
Energy & fuels,2017,10.1021/acs.energyfuels.7b02276,https://doi.org/10.1021/acs.energyfuels.7b02276,False
Energy & fuels,2018,10.1021/acs.energyfuels.7b03704,https://doi.org/10.1021/acs.energyfuels.7b03704,False
Energy & fuels,2019,10.1021/acs.energyfuels.8b03454,https://doi.org/10.1021/acs.energyfuels.8b03454,False
