Name,Year,DOI,DOI-URL,Accessible
Environmental Science & Technology,1995,none,https://doi.org/none,False
Environmental Science & Technology,1996,10.1021/es962398y,https://doi.org/10.1021/es962398y,False
Environmental Science & Technology,1997,10.1021/es972089n,https://doi.org/10.1021/es972089n,False
Environmental Science & Technology,1998,10.1021/es984064z,https://doi.org/10.1021/es984064z,False
Environmental Science & Technology,1999,10.1021/es9812352,https://doi.org/10.1021/es9812352,False
Environmental Science & Technology,2000,10.1021/es003320r,https://doi.org/10.1021/es003320r,False
Environmental Science & Technology,2001,10.1021/es012267j,https://doi.org/10.1021/es012267j,False
Environmental Science & Technology,2002,10.1021/es015853l,https://doi.org/10.1021/es015853l,False
Environmental Science & Technology,2003,10.1021/es025895p,https://doi.org/10.1021/es025895p,False
Environmental Science & Technology,2004,10.1021/es030642x,https://doi.org/10.1021/es030642x,False
Environmental Science & Technology,2005,10.1021/es050159h,https://doi.org/10.1021/es050159h,False
Environmental Science & Technology,2006,10.1021/es0506253,https://doi.org/10.1021/es0506253,False
Environmental Science & Technology,2007,10.1021/es062304c,https://doi.org/10.1021/es062304c,False
Environmental Science & Technology,2008,10.1021/es801464z,https://doi.org/10.1021/es801464z,False
Environmental Science & Technology,2009,10.1021/es9001218,https://doi.org/10.1021/es9001218,False
Environmental Science & Technology,2010,10.1021/es903701q,https://doi.org/10.1021/es903701q,False
Environmental Science & Technology,2011,10.1021/es103486s,https://doi.org/10.1021/es103486s,False
Environmental Science & Technology,2012,10.1021/es3011404,https://doi.org/10.1021/es3011404,False
Environmental Science & Technology,2013,10.1021/es402795x,https://doi.org/10.1021/es402795x,False
Environmental Science & Technology,2014,10.1021/es404728s,https://doi.org/10.1021/es404728s,False
Environmental Science & Technology,2015,10.1021/acs.est.5b01594,https://doi.org/10.1021/acs.est.5b01594,False
Environmental Science & Technology,2016,10.1021/acs.est.5b05947,https://doi.org/10.1021/acs.est.5b05947,False
Environmental Science & Technology,2017,10.1021/acs.est.7b01991,https://doi.org/10.1021/acs.est.7b01991,False
Environmental Science & Technology,2018,10.1021/acs.est.8b03241,https://doi.org/10.1021/acs.est.8b03241,False
Environmental Science & Technology,2019,10.1021/acs.est.8b04923,https://doi.org/10.1021/acs.est.8b04923,False
