Name,Year,DOI,DOI-URL,Accessible
Inorganic chemistry,1996,none,https://doi.org/none,False
Inorganic chemistry,1997,10.1021/ic970383a,https://doi.org/10.1021/ic970383a,False
Inorganic chemistry,1998,10.1021/ic980161s,https://doi.org/10.1021/ic980161s,False
Inorganic chemistry,1999,10.1021/ic9811547,https://doi.org/10.1021/ic9811547,False
Inorganic chemistry,2000,10.1021/ic991476q,https://doi.org/10.1021/ic991476q,False
Inorganic chemistry,2001,10.1021/ic001043j,https://doi.org/10.1021/ic001043j,False
Inorganic chemistry,2002,10.1021/ic011301s,https://doi.org/10.1021/ic011301s,False
Inorganic chemistry,2003,10.1021/ic0343049,https://doi.org/10.1021/ic0343049,False
Inorganic chemistry,2004,10.1021/ic040116m,https://doi.org/10.1021/ic040116m,False
Inorganic chemistry,2005,10.1021/ic050634c,https://doi.org/10.1021/ic050634c,False
Inorganic chemistry,2006,10.1021/ic051780l,https://doi.org/10.1021/ic051780l,False
Inorganic chemistry,2007,10.1021/ic700851x,https://doi.org/10.1021/ic700851x,False
Inorganic chemistry,2008,10.1021/ic800286p,https://doi.org/10.1021/ic800286p,False
Inorganic chemistry,2009,10.1021/ic8013078,https://doi.org/10.1021/ic8013078,False
Inorganic chemistry,2010,10.1021/ic902139h,https://doi.org/10.1021/ic902139h,False
Inorganic chemistry,2011,10.1021/ic200677p,https://doi.org/10.1021/ic200677p,False
Inorganic chemistry,2012,10.1021/ic300983x,https://doi.org/10.1021/ic300983x,False
Inorganic chemistry,2013,10.1021/ic402533j,https://doi.org/10.1021/ic402533j,False
Inorganic chemistry,2014,10.1021/ic501924p,https://doi.org/10.1021/ic501924p,False
Inorganic chemistry,2015,10.1021/ic502521c,https://doi.org/10.1021/ic502521c,False
Inorganic chemistry,2016,10.1021/acs.inorgchem.6b01399,https://doi.org/10.1021/acs.inorgchem.6b01399,False
Inorganic chemistry,2017,10.1021/acs.inorgchem.7b00402,https://doi.org/10.1021/acs.inorgchem.7b00402,False
Inorganic chemistry,2018,10.1021/acs.inorgchem.8b00833,https://doi.org/10.1021/acs.inorgchem.8b00833,False
Inorganic chemistry,2019,10.1021/acs.inorgchem.8b02928,https://doi.org/10.1021/acs.inorgchem.8b02928,False
