Name,Year,DOI,DOI-URL,Accessible
Journal of Chemical Education,1924,10.1021/ed001p168,https://doi.org/10.1021/ed001p168,False
Journal of Chemical Education,1925,10.1021/ed002p501,https://doi.org/10.1021/ed002p501,False
Journal of Chemical Education,1926,10.1021/ed003p593,https://doi.org/10.1021/ed003p593,False
Journal of Chemical Education,1927,10.1021/ed004p138.3,https://doi.org/10.1021/ed004p138.3,False
Journal of Chemical Education,1928,10.1021/ed005p1524,https://doi.org/10.1021/ed005p1524,False
Journal of Chemical Education,1929,10.1021/ed006p550,https://doi.org/10.1021/ed006p550,False
Journal of Chemical Education,1930,10.1021/ed007p624,https://doi.org/10.1021/ed007p624,False
Journal of Chemical Education,1931,10.1021/ed008p1669,https://doi.org/10.1021/ed008p1669,False
Journal of Chemical Education,1932,10.1021/ed009p2008,https://doi.org/10.1021/ed009p2008,False
Journal of Chemical Education,1933,10.1021/ed010p704,https://doi.org/10.1021/ed010p704,False
Journal of Chemical Education,1934,10.1021/ed011p255.1,https://doi.org/10.1021/ed011p255.1,False
Journal of Chemical Education,1935,10.1021/ed012p501,https://doi.org/10.1021/ed012p501,False
Journal of Chemical Education,1936,10.1021/ed013p193,https://doi.org/10.1021/ed013p193,False
Journal of Chemical Education,1937,10.1021/ed014p353,https://doi.org/10.1021/ed014p353,False
Journal of Chemical Education,1938,10.1021/ed015p50.1,https://doi.org/10.1021/ed015p50.1,False
Journal of Chemical Education,1939,10.1021/ed016p391,https://doi.org/10.1021/ed016p391,False
Journal of Chemical Education,1940,10.1021/ed017p145,https://doi.org/10.1021/ed017p145,False
Journal of Chemical Education,1941,10.1021/ed018p107,https://doi.org/10.1021/ed018p107,False
Journal of Chemical Education,1942,10.1021/ed019p360,https://doi.org/10.1021/ed019p360,False
Journal of Chemical Education,1943,10.1021/ed020p363.3,https://doi.org/10.1021/ed020p363.3,False
Journal of Chemical Education,1944,10.1021/ed021p269,https://doi.org/10.1021/ed021p269,False
Journal of Chemical Education,1945,10.1021/ed022p300,https://doi.org/10.1021/ed022p300,False
Journal of Chemical Education,1946,10.1021/ed023p584,https://doi.org/10.1021/ed023p584,False
Journal of Chemical Education,1947,10.1021/ed024p406,https://doi.org/10.1021/ed024p406,False
Journal of Chemical Education,1948,10.1021/ed025p41,https://doi.org/10.1021/ed025p41,False
Journal of Chemical Education,1949,10.1021/ed026p682.2,https://doi.org/10.1021/ed026p682.2,False
Journal of Chemical Education,1950,10.1021/ed027p461,https://doi.org/10.1021/ed027p461,False
Journal of Chemical Education,1951,10.1021/ed028p158,https://doi.org/10.1021/ed028p158,False
Journal of Chemical Education,1952,10.1021/ed029p213.2,https://doi.org/10.1021/ed029p213.2,False
Journal of Chemical Education,1953,10.1021/ed030p574,https://doi.org/10.1021/ed030p574,False
Journal of Chemical Education,1954,10.1021/ed031p662,https://doi.org/10.1021/ed031p662,False
Journal of Chemical Education,1955,10.1021/ed032p529,https://doi.org/10.1021/ed032p529,False
Journal of Chemical Education,1956,10.1021/ed033p609,https://doi.org/10.1021/ed033p609,False
Journal of Chemical Education,1957,10.1021/ed034p133,https://doi.org/10.1021/ed034p133,False
Journal of Chemical Education,1958,10.1021/ed035p34,https://doi.org/10.1021/ed035p34,False
Journal of Chemical Education,1959,10.1021/ed036p591,https://doi.org/10.1021/ed036p591,False
Journal of Chemical Education,1960,10.1021/ed037p398,https://doi.org/10.1021/ed037p398,False
Journal of Chemical Education,1961,10.1021/ed038p275.1,https://doi.org/10.1021/ed038p275.1,False
Journal of Chemical Education,1962,10.1021/ed039pa127,https://doi.org/10.1021/ed039pa127,False
Journal of Chemical Education,1963,10.1021/ed040p344,https://doi.org/10.1021/ed040p344,False
Journal of Chemical Education,1964,10.1021/ed041p407.1,https://doi.org/10.1021/ed041p407.1,False
Journal of Chemical Education,1965,10.1021/ed042p616,https://doi.org/10.1021/ed042p616,False
Journal of Chemical Education,1966,10.1021/ed043p562,https://doi.org/10.1021/ed043p562,False
Journal of Chemical Education,1967,10.1021/ed044p465,https://doi.org/10.1021/ed044p465,False
Journal of Chemical Education,1968,10.1021/ed045p350.3,https://doi.org/10.1021/ed045p350.3,False
Journal of Chemical Education,1969,10.1021/ed046pa634.3,https://doi.org/10.1021/ed046pa634.3,False
Journal of Chemical Education,1970,10.1021/ed047p381,https://doi.org/10.1021/ed047p381,False
Journal of Chemical Education,1971,10.1021/ed048p39,https://doi.org/10.1021/ed048p39,False
Journal of Chemical Education,1972,10.1021/ed049p706.2,https://doi.org/10.1021/ed049p706.2,False
Journal of Chemical Education,1973,10.1021/ed050p238,https://doi.org/10.1021/ed050p238,False
Journal of Chemical Education,1974,10.1021/ed051p569,https://doi.org/10.1021/ed051p569,False
Journal of Chemical Education,1975,10.1021/ed052p512,https://doi.org/10.1021/ed052p512,False
Journal of Chemical Education,1976,10.1021/ed053p390,https://doi.org/10.1021/ed053p390,False
Journal of Chemical Education,1977,10.1021/ed054pa45.2,https://doi.org/10.1021/ed054pa45.2,False
Journal of Chemical Education,1978,10.1021/ed055p354,https://doi.org/10.1021/ed055p354,False
Journal of Chemical Education,1979,10.1021/ed056p48.1,https://doi.org/10.1021/ed056p48.1,False
Journal of Chemical Education,1980,10.1021/ed057p811,https://doi.org/10.1021/ed057p811,False
Journal of Chemical Education,1981,10.1021/ed058pa177.1,https://doi.org/10.1021/ed058pa177.1,False
Journal of Chemical Education,1982,10.1021/ed059pa401.2,https://doi.org/10.1021/ed059pa401.2,False
Journal of Chemical Education,1983,10.1021/ed060p420,https://doi.org/10.1021/ed060p420,False
Journal of Chemical Education,1984,10.1021/ed061p927,https://doi.org/10.1021/ed061p927,False
Journal of Chemical Education,1985,10.1021/ed062p310,https://doi.org/10.1021/ed062p310,False
Journal of Chemical Education,1986,10.1021/ed063p629.2,https://doi.org/10.1021/ed063p629.2,False
Journal of Chemical Education,1987,10.1021/ed064p365,https://doi.org/10.1021/ed064p365,False
Journal of Chemical Education,1988,10.1021/ed065pa273.2,https://doi.org/10.1021/ed065pa273.2,False
Journal of Chemical Education,1989,10.1021/ed066p845,https://doi.org/10.1021/ed066p845,False
Journal of Chemical Education,1990,10.1021/ed067pa93,https://doi.org/10.1021/ed067pa93,False
Journal of Chemical Education,1991,10.1021/ed068p444.3,https://doi.org/10.1021/ed068p444.3,False
Journal of Chemical Education,1992,10.1021/ed069p686,https://doi.org/10.1021/ed069p686,False
Journal of Chemical Education,1993,10.1021/ed070p346.2,https://doi.org/10.1021/ed070p346.2,False
Journal of Chemical Education,1994,10.1021/ed071p840,https://doi.org/10.1021/ed071p840,False
Journal of Chemical Education,1995,10.1021/ed072p411,https://doi.org/10.1021/ed072p411,False
Journal of Chemical Education,1996,10.1021/ed073p696,https://doi.org/10.1021/ed073p696,False
Journal of Chemical Education,1997,10.1021/ed074p873,https://doi.org/10.1021/ed074p873,False
Journal of Chemical Education,1998,10.1021/ed075p1317,https://doi.org/10.1021/ed075p1317,False
Journal of Chemical Education,1999,10.1021/ed076p750,https://doi.org/10.1021/ed076p750,False
Journal of Chemical Education,2000,10.1021/ed077p251,https://doi.org/10.1021/ed077p251,False
Journal of Chemical Education,2001,10.1021/ed078p228,https://doi.org/10.1021/ed078p228,False
Journal of Chemical Education,2002,10.1021/ed079p1063,https://doi.org/10.1021/ed079p1063,False
Journal of Chemical Education,2003,10.1021/ed080p907,https://doi.org/10.1021/ed080p907,False
Journal of Chemical Education,2004,10.1021/ed081p1819,https://doi.org/10.1021/ed081p1819,False
Journal of Chemical Education,2005,10.1021/ed082p1144,https://doi.org/10.1021/ed082p1144,False
Journal of Chemical Education,2006,10.1021/ed083p175,https://doi.org/10.1021/ed083p175,False
Journal of Chemical Education,2007,10.1021/ed084p1919,https://doi.org/10.1021/ed084p1919,False
Journal of Chemical Education,2008,10.1021/ed085p1555,https://doi.org/10.1021/ed085p1555,False
Journal of Chemical Education,2009,10.1021/ed086p566,https://doi.org/10.1021/ed086p566,False
Journal of Chemical Education,2010,10.1021/ed100458w,https://doi.org/10.1021/ed100458w,False
Journal of Chemical Education,2011,10.1021/ed101066x,https://doi.org/10.1021/ed101066x,False
Journal of Chemical Education,2012,10.1021/ed2008558,https://doi.org/10.1021/ed2008558,False
Journal of Chemical Education,2013,10.1021/ed300098d,https://doi.org/10.1021/ed300098d,False
Journal of Chemical Education,2014,10.1021/ed500324w,https://doi.org/10.1021/ed500324w,False
Journal of Chemical Education,2015,10.1021/acs.jchemed.5b00364,https://doi.org/10.1021/acs.jchemed.5b00364,False
Journal of Chemical Education,2016,10.1021/acs.jchemed.5b00818,https://doi.org/10.1021/acs.jchemed.5b00818,False
Journal of Chemical Education,2017,10.1021/acs.jchemed.7b00215,https://doi.org/10.1021/acs.jchemed.7b00215,False
Journal of Chemical Education,2018,10.1021/acs.jchemed.8b00223,https://doi.org/10.1021/acs.jchemed.8b00223,False
Journal of Chemical Education,2019,10.1021/acs.jchemed.8b00563,https://doi.org/10.1021/acs.jchemed.8b00563,False
