Name,Year,DOI,DOI-URL,Accessible
Journal of Chemical and Engineering Data,1996,none,https://doi.org/none,False
Journal of Chemical and Engineering Data,1997,10.1021/je970172k,https://doi.org/10.1021/je970172k,False
Journal of Chemical and Engineering Data,1998,10.1021/je9702504,https://doi.org/10.1021/je9702504,False
Journal of Chemical and Engineering Data,1999,10.1021/je980250j,https://doi.org/10.1021/je980250j,False
Journal of Chemical and Engineering Data,2000,10.1021/je990305x,https://doi.org/10.1021/je990305x,False
Journal of Chemical and Engineering Data,2001,10.1021/je000296o,https://doi.org/10.1021/je000296o,False
Journal of Chemical and Engineering Data,2002,10.1021/je0200968,https://doi.org/10.1021/je0200968,False
Journal of Chemical and Engineering Data,2003,10.1021/je034041x,https://doi.org/10.1021/je034041x,False
Journal of Chemical and Engineering Data,2004,10.1021/je049932z,https://doi.org/10.1021/je049932z,False
Journal of Chemical and Engineering Data,2005,10.1021/je049696s,https://doi.org/10.1021/je049696s,False
Journal of Chemical and Engineering Data,2006,10.1021/je0503711,https://doi.org/10.1021/je0503711,False
Journal of Chemical and Engineering Data,2007,10.1021/je700342k,https://doi.org/10.1021/je700342k,False
Journal of Chemical and Engineering Data,2008,10.1021/je700382s,https://doi.org/10.1021/je700382s,False
Journal of Chemical and Engineering Data,2009,10.1021/je800789b,https://doi.org/10.1021/je800789b,False
Journal of Chemical and Engineering Data,2010,10.1021/je100295f,https://doi.org/10.1021/je100295f,False
Journal of Chemical and Engineering Data,2011,10.1021/je2003226,https://doi.org/10.1021/je2003226,False
Journal of Chemical and Engineering Data,2012,10.1021/je300152t,https://doi.org/10.1021/je300152t,False
Journal of Chemical and Engineering Data,2013,10.1021/je400468z,https://doi.org/10.1021/je400468z,False
Journal of Chemical and Engineering Data,2014,10.1021/je4010245,https://doi.org/10.1021/je4010245,False
Journal of Chemical and Engineering Data,2015,10.1021/acs.jced.5b00042,https://doi.org/10.1021/acs.jced.5b00042,False
Journal of Chemical and Engineering Data,2016,10.1021/acs.jced.5b01104,https://doi.org/10.1021/acs.jced.5b01104,False
Journal of Chemical and Engineering Data,2017,10.1021/acs.jced.7b00195,https://doi.org/10.1021/acs.jced.7b00195,False
Journal of Chemical and Engineering Data,2018,10.1021/acs.jced.8b00025,https://doi.org/10.1021/acs.jced.8b00025,False
Journal of Chemical and Engineering Data,2019,10.1021/acs.jced.8b00806,https://doi.org/10.1021/acs.jced.8b00806,False
