Name,Year,DOI,DOI-URL,Accessible
Journal of Natural Products,1996,none,https://doi.org/none,False
Journal of Natural Products,1997,10.1021/np960703n,https://doi.org/10.1021/np960703n,False
Journal of Natural Products,1998,10.1021/np9800699,https://doi.org/10.1021/np9800699,False
Journal of Natural Products,1999,10.1021/np980285h,https://doi.org/10.1021/np980285h,False
Journal of Natural Products,2000,10.1021/np000136a,https://doi.org/10.1021/np000136a,False
Journal of Natural Products,2001,10.1021/np0100845,https://doi.org/10.1021/np0100845,False
Journal of Natural Products,2002,10.1021/np010626i,https://doi.org/10.1021/np010626i,False
Journal of Natural Products,2003,10.1021/np030045o,https://doi.org/10.1021/np030045o,False
Journal of Natural Products,2004,10.1021/np0302899,https://doi.org/10.1021/np0302899,False
Journal of Natural Products,2005,10.1021/np058063o,https://doi.org/10.1021/np058063o,False
Journal of Natural Products,2006,10.1021/np060131z,https://doi.org/10.1021/np060131z,False
Journal of Natural Products,2007,10.1021/np070024k,https://doi.org/10.1021/np070024k,False
Journal of Natural Products,2008,10.1021/np800216b,https://doi.org/10.1021/np800216b,False
Journal of Natural Products,2009,10.1021/np800789y,https://doi.org/10.1021/np800789y,False
Journal of Natural Products,2010,10.1021/np100325q,https://doi.org/10.1021/np100325q,False
Journal of Natural Products,2011,10.1021/np100641b,https://doi.org/10.1021/np100641b,False
Journal of Natural Products,2012,10.1021/np200939d,https://doi.org/10.1021/np200939d,False
Journal of Natural Products,2013,10.1021/np400379u,https://doi.org/10.1021/np400379u,False
Journal of Natural Products,2014,10.1021/np400880w,https://doi.org/10.1021/np400880w,False
Journal of Natural Products,2015,10.1021/npv078i012_790820,https://doi.org/10.1021/npv078i012_790820,False
Journal of Natural Products,2016,10.1021/acs.jnatprod.6b00252,https://doi.org/10.1021/acs.jnatprod.6b00252,False
Journal of Natural Products,2017,10.1021/acs.jnatprod.7b00189,https://doi.org/10.1021/acs.jnatprod.7b00189,False
Journal of Natural Products,2018,10.1021/acs.jnatprod.8b00322,https://doi.org/10.1021/acs.jnatprod.8b00322,False
Journal of Natural Products,2019,10.1021/acs.jnatprod.8b00696,https://doi.org/10.1021/acs.jnatprod.8b00696,False
