Name,Year,DOI,DOI-URL,Accessible
Journal of agricultural and food chemistry,1996,none,https://doi.org/none,False
Journal of agricultural and food chemistry,1997,10.1021/jf970292w,https://doi.org/10.1021/jf970292w,False
Journal of agricultural and food chemistry,1998,10.1021/jf980165f,https://doi.org/10.1021/jf980165f,False
Journal of agricultural and food chemistry,1999,10.1021/jf980818s,https://doi.org/10.1021/jf980818s,False
Journal of agricultural and food chemistry,2000,10.1021/jf991000p,https://doi.org/10.1021/jf991000p,False
Journal of agricultural and food chemistry,2001,10.1021/jf000876p,https://doi.org/10.1021/jf000876p,False
Journal of agricultural and food chemistry,2002,10.1021/jf020086a,https://doi.org/10.1021/jf020086a,False
Journal of agricultural and food chemistry,2003,10.1021/jf026202r,https://doi.org/10.1021/jf026202r,False
Journal of agricultural and food chemistry,2004,10.1021/jf035176+,https://doi.org/10.1021/jf035176+,False
Journal of agricultural and food chemistry,2005,10.1021/jf0403282,https://doi.org/10.1021/jf0403282,False
Journal of agricultural and food chemistry,2006,10.1021/jf052683d,https://doi.org/10.1021/jf052683d,False
Journal of agricultural and food chemistry,2007,10.1021/jf0716432,https://doi.org/10.1021/jf0716432,False
Journal of agricultural and food chemistry,2008,10.1021/jf801815n,https://doi.org/10.1021/jf801815n,False
Journal of agricultural and food chemistry,2009,10.1021/jf803649z,https://doi.org/10.1021/jf803649z,False
Journal of agricultural and food chemistry,2010,10.1021/jf102814b,https://doi.org/10.1021/jf102814b,False
Journal of agricultural and food chemistry,2011,10.1021/jf103511v,https://doi.org/10.1021/jf103511v,False
Journal of agricultural and food chemistry,2012,10.1021/jf301317h,https://doi.org/10.1021/jf301317h,False
Journal of agricultural and food chemistry,2013,10.1021/jf4000659,https://doi.org/10.1021/jf4000659,False
Journal of agricultural and food chemistry,2014,10.1021/jf5022829,https://doi.org/10.1021/jf5022829,False
Journal of agricultural and food chemistry,2015,10.1021/jf504677r,https://doi.org/10.1021/jf504677r,False
Journal of agricultural and food chemistry,2016,10.1021/acs.jafc.5b06085,https://doi.org/10.1021/acs.jafc.5b06085,False
Journal of agricultural and food chemistry,2017,10.1021/jfv065i034_1128814,https://doi.org/10.1021/jfv065i034_1128814,False
Journal of agricultural and food chemistry,2018,10.1021/acs.jafc.8b01500,https://doi.org/10.1021/acs.jafc.8b01500,False
Journal of agricultural and food chemistry,2019,10.1021/acs.jafc.8b05281,https://doi.org/10.1021/acs.jafc.8b05281,False
