Name,Year,DOI,DOI-URL,Accessible
Journal of chemical information and modeling,2005,10.1021/ci0501342,https://doi.org/10.1021/ci0501342,False
Journal of chemical information and modeling,2006,10.1021/ci050464m,https://doi.org/10.1021/ci050464m,False
Journal of chemical information and modeling,2007,10.1021/ci600517c,https://doi.org/10.1021/ci600517c,False
Journal of chemical information and modeling,2008,10.1021/ci800110p,https://doi.org/10.1021/ci800110p,False
Journal of chemical information and modeling,2009,10.1021/ci800386v,https://doi.org/10.1021/ci800386v,False
Journal of chemical information and modeling,2010,10.1021/ci100291b,https://doi.org/10.1021/ci100291b,False
Journal of chemical information and modeling,2011,10.1021/ci200282z,https://doi.org/10.1021/ci200282z,False
Journal of chemical information and modeling,2012,10.1021/ci2005687,https://doi.org/10.1021/ci2005687,False
Journal of chemical information and modeling,2013,10.1021/ci4000739,https://doi.org/10.1021/ci4000739,False
Journal of chemical information and modeling,2014,10.1021/ci500513n,https://doi.org/10.1021/ci500513n,False
Journal of chemical information and modeling,2015,10.1021/acs.jcim.5b00019,https://doi.org/10.1021/acs.jcim.5b00019,False
Journal of chemical information and modeling,2016,10.1021/acs.jcim.6b00248,https://doi.org/10.1021/acs.jcim.6b00248,False
Journal of chemical information and modeling,2017,10.1021/civ057i003_930485,https://doi.org/10.1021/civ057i003_930485,False
Journal of chemical information and modeling,2018,10.1021/acs.jcim.7b00440,https://doi.org/10.1021/acs.jcim.7b00440,False
Journal of chemical information and modeling,2019,10.1021/acs.jcim.8b00753,https://doi.org/10.1021/acs.jcim.8b00753,False
