Name,Year,DOI,DOI-URL,Accessible
Journal of chemical theory and computation,2005,10.1021/ct049928y,https://doi.org/10.1021/ct049928y,False
Journal of chemical theory and computation,2006,10.1021/ct0502918,https://doi.org/10.1021/ct0502918,False
Journal of chemical theory and computation,2007,10.1021/ct600372t,https://doi.org/10.1021/ct600372t,False
Journal of chemical theory and computation,2008,10.1021/ct8004062,https://doi.org/10.1021/ct8004062,False
Journal of chemical theory and computation,2009,10.1021/ct9003756,https://doi.org/10.1021/ct9003756,False
Journal of chemical theory and computation,2010,10.1021/ct100398m,https://doi.org/10.1021/ct100398m,False
Journal of chemical theory and computation,2011,10.1021/ct200458m,https://doi.org/10.1021/ct200458m,False
Journal of chemical theory and computation,2012,10.1021/ct3005134,https://doi.org/10.1021/ct3005134,False
Journal of chemical theory and computation,2013,10.1021/ct400366h,https://doi.org/10.1021/ct400366h,False
Journal of chemical theory and computation,2014,10.1021/ct500186j,https://doi.org/10.1021/ct500186j,False
Journal of chemical theory and computation,2015,10.1021/acs.jctc.5b00056,https://doi.org/10.1021/acs.jctc.5b00056,False
Journal of chemical theory and computation,2016,10.1021/acs.jctc.6b00900,https://doi.org/10.1021/acs.jctc.6b00900,False
Journal of chemical theory and computation,2017,10.1021/acs.jctc.7b00634,https://doi.org/10.1021/acs.jctc.7b00634,False
Journal of chemical theory and computation,2018,10.1021/acs.jctc.7b00881,https://doi.org/10.1021/acs.jctc.7b00881,False
Journal of chemical theory and computation,2019,10.1021/acs.jctc.8b01033,https://doi.org/10.1021/acs.jctc.8b01033,False
