Name,Year,DOI,DOI-URL,Accessible
Journal of medicinal chemistry,1996,10.1021/jm950797i,https://doi.org/10.1021/jm950797i,False
Journal of medicinal chemistry,1997,10.1021/jm9607111,https://doi.org/10.1021/jm9607111,False
Journal of medicinal chemistry,1998,10.1021/jm980026p,https://doi.org/10.1021/jm980026p,False
Journal of medicinal chemistry,1999,10.1021/jm990054n,https://doi.org/10.1021/jm990054n,False
Journal of medicinal chemistry,2000,10.1021/jm990629g,https://doi.org/10.1021/jm990629g,False
Journal of medicinal chemistry,2001,10.1021/jm001033s,https://doi.org/10.1021/jm001033s,False
Journal of medicinal chemistry,2002,10.1021/jm020200g,https://doi.org/10.1021/jm020200g,False
Journal of medicinal chemistry,2003,10.1021/jm030801n,https://doi.org/10.1021/jm030801n,False
Journal of medicinal chemistry,2004,10.1021/jm031044w,https://doi.org/10.1021/jm031044w,False
Journal of medicinal chemistry,2005,10.1021/jm0492655,https://doi.org/10.1021/jm0492655,False
Journal of medicinal chemistry,2006,10.1021/jm060136t,https://doi.org/10.1021/jm060136t,False
Journal of medicinal chemistry,2007,10.1021/jm0613323,https://doi.org/10.1021/jm0613323,False
Journal of medicinal chemistry,2008,10.1021/jm8002747,https://doi.org/10.1021/jm8002747,False
Journal of medicinal chemistry,2009,10.1021/jm900796p,https://doi.org/10.1021/jm900796p,False
Journal of medicinal chemistry,2010,10.1021/jm100763j,https://doi.org/10.1021/jm100763j,False
Journal of medicinal chemistry,2011,10.1021/jm2008002,https://doi.org/10.1021/jm2008002,False
Journal of medicinal chemistry,2012,10.1021/jm3010338,https://doi.org/10.1021/jm3010338,False
Journal of medicinal chemistry,2013,10.1021/jm301632e,https://doi.org/10.1021/jm301632e,False
Journal of medicinal chemistry,2014,10.1021/jm500457x,https://doi.org/10.1021/jm500457x,False
Journal of medicinal chemistry,2015,10.1021/acs.jmedchem.5b00686,https://doi.org/10.1021/acs.jmedchem.5b00686,False
Journal of medicinal chemistry,2016,10.1021/acs.jmedchem.5b01812,https://doi.org/10.1021/acs.jmedchem.5b01812,False
Journal of medicinal chemistry,2017,10.1021/acs.jmedchem.6b01773,https://doi.org/10.1021/acs.jmedchem.6b01773,False
Journal of medicinal chemistry,2018,10.1021/acs.jmedchem.8b00468,https://doi.org/10.1021/acs.jmedchem.8b00468,False
Journal of medicinal chemistry,2019,10.1021/acs.jmedchem.8b01766,https://doi.org/10.1021/acs.jmedchem.8b01766,False
