Name,Year,DOI,DOI-URL,Accessible
Nano letters,2001,10.1021/nl0100365,https://doi.org/10.1021/nl0100365,False
Nano letters,2002,10.1021/nl025667t,https://doi.org/10.1021/nl025667t,False
Nano letters,2003,10.1021/nl034075n,https://doi.org/10.1021/nl034075n,False
Nano letters,2004,10.1021/nl0485861,https://doi.org/10.1021/nl0485861,False
Nano letters,2005,10.1021/nl051304s,https://doi.org/10.1021/nl051304s,False
Nano letters,2006,10.1021/nl052183z,https://doi.org/10.1021/nl052183z,False
Nano letters,2007,10.1021/nl071089a,https://doi.org/10.1021/nl071089a,False
Nano letters,2008,10.1021/nl802476m,https://doi.org/10.1021/nl802476m,False
Nano letters,2009,10.1021/nl900927f,https://doi.org/10.1021/nl900927f,False
Nano letters,2010,10.1021/nl102623x,https://doi.org/10.1021/nl102623x,False
Nano letters,2011,10.1021/nl203743p,https://doi.org/10.1021/nl203743p,False
Nano letters,2012,10.1021/nl302015v,https://doi.org/10.1021/nl302015v,False
Nano letters,2013,10.1021/nl402455n,https://doi.org/10.1021/nl402455n,False
Nano letters,2014,10.1021/nl403938g,https://doi.org/10.1021/nl403938g,False
Nano letters,2015,10.1021/acs.nanolett.5b01664,https://doi.org/10.1021/acs.nanolett.5b01664,False
Nano letters,2016,10.1021/acs.nanolett.6b00533,https://doi.org/10.1021/acs.nanolett.6b00533,False
Nano letters,2017,10.1021/acs.nanolett.7b01584,https://doi.org/10.1021/acs.nanolett.7b01584,False
Nano letters,2018,10.1021/acs.nanolett.8b00242,https://doi.org/10.1021/acs.nanolett.8b00242,False
Nano letters,2019,10.1021/acs.nanolett.8b04481,https://doi.org/10.1021/acs.nanolett.8b04481,False
