Name,Year,DOI,DOI-URL,Accessible
Organic Process Research and Development,1997,10.1021/op9600015,https://doi.org/10.1021/op9600015,False
Organic Process Research and Development,1998,10.1021/op970035s,https://doi.org/10.1021/op970035s,False
Organic Process Research and Development,1999,10.1021/op980075b,https://doi.org/10.1021/op980075b,False
Organic Process Research and Development,2000,10.1021/op990201r,https://doi.org/10.1021/op990201r,False
Organic Process Research and Development,2001,10.1021/op0000935,https://doi.org/10.1021/op0000935,False
Organic Process Research and Development,2002,10.1021/op020041a,https://doi.org/10.1021/op020041a,False
Organic Process Research and Development,2003,10.1021/op025584z,https://doi.org/10.1021/op025584z,False
Organic Process Research and Development,2004,10.1021/op034167z,https://doi.org/10.1021/op034167z,False
Organic Process Research and Development,2005,10.1021/op0580116,https://doi.org/10.1021/op0580116,False
Organic Process Research and Development,2006,10.1021/op060050+,https://doi.org/10.1021/op060050+,False
Organic Process Research and Development,2007,10.1021/op7001694,https://doi.org/10.1021/op7001694,False
Organic Process Research and Development,2008,10.1021/op800087e,https://doi.org/10.1021/op800087e,False
Organic Process Research and Development,2009,10.1021/op800313t,https://doi.org/10.1021/op800313t,False
Organic Process Research and Development,2010,10.1021/op900190y,https://doi.org/10.1021/op900190y,False
Organic Process Research and Development,2011,10.1021/op1002165,https://doi.org/10.1021/op1002165,False
Organic Process Research and Development,2012,10.1021/op300064b,https://doi.org/10.1021/op300064b,False
Organic Process Research and Development,2013,10.1021/op400002r,https://doi.org/10.1021/op400002r,False
Organic Process Research and Development,2014,10.1021/op5002275,https://doi.org/10.1021/op5002275,False
Organic Process Research and Development,2015,10.1021/acs.oprd.5b00294,https://doi.org/10.1021/acs.oprd.5b00294,False
Organic Process Research and Development,2016,10.1021/acs.oprd.6b00011,https://doi.org/10.1021/acs.oprd.6b00011,False
Organic Process Research and Development,2017,10.1021/acs.oprd.7b00208,https://doi.org/10.1021/acs.oprd.7b00208,False
Organic Process Research and Development,2018,10.1021/acs.oprd.8b00151,https://doi.org/10.1021/acs.oprd.8b00151,False
Organic Process Research and Development,2019,10.1021/acs.oprd.8b00429,https://doi.org/10.1021/acs.oprd.8b00429,False
