Name,Year,DOI,DOI-URL,Accessible
Organic letters,1999,10.1021/ol990161b,https://doi.org/10.1021/ol990161b,False
Organic letters,2000,10.1021/ol006379b,https://doi.org/10.1021/ol006379b,False
Organic letters,2001,10.1021/ol0161108,https://doi.org/10.1021/ol0161108,False
Organic letters,2002,10.1021/ol020139+,https://doi.org/10.1021/ol020139+,False
Organic letters,2003,10.1021/ol0353767,https://doi.org/10.1021/ol0353767,False
Organic letters,2004,10.1021/ol0496475,https://doi.org/10.1021/ol0496475,False
Organic letters,2005,10.1021/ol050773y,https://doi.org/10.1021/ol050773y,False
Organic letters,2006,10.1021/ol062020x,https://doi.org/10.1021/ol062020x,False
Organic letters,2007,10.1021/ol702215m,https://doi.org/10.1021/ol702215m,False
Organic letters,2008,10.1021/ol800085u,https://doi.org/10.1021/ol800085u,False
Organic letters,2009,10.1021/ol8026895,https://doi.org/10.1021/ol8026895,False
Organic letters,2010,10.1021/ol102057t,https://doi.org/10.1021/ol102057t,False
Organic letters,2011,10.1021/ol201273b,https://doi.org/10.1021/ol201273b,False
Organic letters,2012,10.1021/ol3029324,https://doi.org/10.1021/ol3029324,False
Organic letters,2013,10.1021/ol303453j,https://doi.org/10.1021/ol303453j,False
Organic letters,2014,10.1021/ol500781j,https://doi.org/10.1021/ol500781j,False
Organic letters,2015,10.1021/acs.orglett.5b01393,https://doi.org/10.1021/acs.orglett.5b01393,False
Organic letters,2016,10.1021/acs.orglett.6b00677,https://doi.org/10.1021/acs.orglett.6b00677,False
Organic letters,2017,10.1021/acs.orglett.7b02722,https://doi.org/10.1021/acs.orglett.7b02722,False
Organic letters,2018,10.1021/acs.orglett.8b01151,https://doi.org/10.1021/acs.orglett.8b01151,False
Organic letters,2019,10.1021/acs.orglett.8b03522,https://doi.org/10.1021/acs.orglett.8b03522,False
