Name,Year,DOI,DOI-URL,Accessible
Organometallics,1996,10.1021/om9603023,https://doi.org/10.1021/om9603023,False
Organometallics,1997,10.1021/om960960n,https://doi.org/10.1021/om960960n,False
Organometallics,1998,10.1021/om970423i,https://doi.org/10.1021/om970423i,False
Organometallics,1999,10.1021/om990557r,https://doi.org/10.1021/om990557r,False
Organometallics,2000,10.1021/om990842a,https://doi.org/10.1021/om990842a,False
Organometallics,2001,10.1021/om0101036,https://doi.org/10.1021/om0101036,False
Organometallics,2002,10.1021/om010792l,https://doi.org/10.1021/om010792l,False
Organometallics,2003,10.1021/om0208218,https://doi.org/10.1021/om0208218,False
Organometallics,2004,10.1021/om049735t,https://doi.org/10.1021/om049735t,False
Organometallics,2005,10.1021/om0505918,https://doi.org/10.1021/om0505918,False
Organometallics,2006,10.1021/om0606791,https://doi.org/10.1021/om0606791,False
Organometallics,2007,10.1021/om070200k,https://doi.org/10.1021/om070200k,False
Organometallics,2008,10.1021/om800165x,https://doi.org/10.1021/om800165x,False
Organometallics,2009,10.1021/om9004934,https://doi.org/10.1021/om9004934,False
Organometallics,2010,10.1021/om100381d,https://doi.org/10.1021/om100381d,False
Organometallics,2011,10.1021/om200424k,https://doi.org/10.1021/om200424k,False
Organometallics,2012,10.1021/om300310g,https://doi.org/10.1021/om300310g,False
Organometallics,2013,10.1021/om400382u,https://doi.org/10.1021/om400382u,False
Organometallics,2014,10.1021/om4006214,https://doi.org/10.1021/om4006214,False
Organometallics,2015,10.1021/acs.organomet.5b00736,https://doi.org/10.1021/acs.organomet.5b00736,False
Organometallics,2016,10.1021/acs.organomet.6b00596,https://doi.org/10.1021/acs.organomet.6b00596,False
Organometallics,2017,10.1021/omv036i003_920972,https://doi.org/10.1021/omv036i003_920972,False
Organometallics,2018,10.1021/acs.organomet.7b00911,https://doi.org/10.1021/acs.organomet.7b00911,False
Organometallics,2019,10.1021/acs.organomet.9b00002,https://doi.org/10.1021/acs.organomet.9b00002,False
