Name,Year,DOI,DOI-URL,Accessible
The Journal of Organic Chemistry,1996,10.1021/jo960982j,https://doi.org/10.1021/jo960982j,False
The Journal of Organic Chemistry,1997,10.1021/jo961909w,https://doi.org/10.1021/jo961909w,False
The Journal of Organic Chemistry,1998,10.1021/jo971591n,https://doi.org/10.1021/jo971591n,False
The Journal of Organic Chemistry,1999,10.1021/jo982523j,https://doi.org/10.1021/jo982523j,False
The Journal of Organic Chemistry,2000,10.1021/jo0003652,https://doi.org/10.1021/jo0003652,False
The Journal of Organic Chemistry,2001,10.1021/jo001455+,https://doi.org/10.1021/jo001455+,False
The Journal of Organic Chemistry,2002,10.1021/jo0263418,https://doi.org/10.1021/jo0263418,False
The Journal of Organic Chemistry,2003,10.1021/jo035213w,https://doi.org/10.1021/jo035213w,False
The Journal of Organic Chemistry,2004,10.1021/jo040004c,https://doi.org/10.1021/jo040004c,False
The Journal of Organic Chemistry,2005,10.1021/jo0478914,https://doi.org/10.1021/jo0478914,False
The Journal of Organic Chemistry,2006,10.1021/jo060116z,https://doi.org/10.1021/jo060116z,False
The Journal of Organic Chemistry,2007,10.1021/jo071111k,https://doi.org/10.1021/jo071111k,False
The Journal of Organic Chemistry,2008,10.1021/jo701893m,https://doi.org/10.1021/jo701893m,False
The Journal of Organic Chemistry,2009,10.1021/jo900030p,https://doi.org/10.1021/jo900030p,False
The Journal of Organic Chemistry,2010,10.1021/jo100514a,https://doi.org/10.1021/jo100514a,False
The Journal of Organic Chemistry,2011,10.1021/jo201253m,https://doi.org/10.1021/jo201253m,False
The Journal of Organic Chemistry,2012,10.1021/jo300766f,https://doi.org/10.1021/jo300766f,False
The Journal of Organic Chemistry,2013,10.1021/jo400213s,https://doi.org/10.1021/jo400213s,False
The Journal of Organic Chemistry,2014,10.1021/jo501125b,https://doi.org/10.1021/jo501125b,False
The Journal of Organic Chemistry,2015,10.1021/acs.joc.5b00645,https://doi.org/10.1021/acs.joc.5b00645,False
The Journal of Organic Chemistry,2016,10.1021/acs.joc.6b00249,https://doi.org/10.1021/acs.joc.6b00249,False
The Journal of Organic Chemistry,2017,10.1021/acs.joc.7b01792,https://doi.org/10.1021/acs.joc.7b01792,False
The Journal of Organic Chemistry,2018,10.1021/acs.joc.7b03186,https://doi.org/10.1021/acs.joc.7b03186,False
The Journal of Organic Chemistry,2019,10.1021/acs.joc.8b03044,https://doi.org/10.1021/acs.joc.8b03044,False
