Name,Year,DOI,DOI-URL,Accessible
The Journal of Physical Chemistry B,1997,10.1021/jp963410b,https://doi.org/10.1021/jp963410b,False
The Journal of Physical Chemistry B,1998,10.1021/jp981904y,https://doi.org/10.1021/jp981904y,False
The Journal of Physical Chemistry B,1999,10.1021/jp9916687,https://doi.org/10.1021/jp9916687,False
The Journal of Physical Chemistry B,2000,10.1021/jp993540v,https://doi.org/10.1021/jp993540v,False
The Journal of Physical Chemistry B,2001,10.1021/jp003632g,https://doi.org/10.1021/jp003632g,False
The Journal of Physical Chemistry B,2002,10.1021/jp025883q,https://doi.org/10.1021/jp025883q,False
The Journal of Physical Chemistry B,2003,10.1021/jp0275241,https://doi.org/10.1021/jp0275241,False
The Journal of Physical Chemistry B,2004,10.1021/jp0495141,https://doi.org/10.1021/jp0495141,False
The Journal of Physical Chemistry B,2005,10.1021/jp046581m,https://doi.org/10.1021/jp046581m,False
The Journal of Physical Chemistry B,2006,10.1021/jp053914m,https://doi.org/10.1021/jp053914m,False
The Journal of Physical Chemistry B,2007,10.1021/jp068277u,https://doi.org/10.1021/jp068277u,False
The Journal of Physical Chemistry B,2008,10.1021/jp8058799,https://doi.org/10.1021/jp8058799,False
The Journal of Physical Chemistry B,2009,10.1021/jp906719f,https://doi.org/10.1021/jp906719f,False
The Journal of Physical Chemistry B,2010,10.1021/jp109763t,https://doi.org/10.1021/jp109763t,False
The Journal of Physical Chemistry B,2011,10.1021/jp111919z,https://doi.org/10.1021/jp111919z,False
The Journal of Physical Chemistry B,2012,10.1021/jp306436f,https://doi.org/10.1021/jp306436f,False
The Journal of Physical Chemistry B,2013,10.1021/jp408486n,https://doi.org/10.1021/jp408486n,False
The Journal of Physical Chemistry B,2014,10.1021/jp500200b,https://doi.org/10.1021/jp500200b,False
The Journal of Physical Chemistry B,2015,10.1021/acs.jpcb.5b03610,https://doi.org/10.1021/acs.jpcb.5b03610,False
The Journal of Physical Chemistry B,2016,10.1021/acs.jpcb.5b09663,https://doi.org/10.1021/acs.jpcb.5b09663,False
The Journal of Physical Chemistry B,2017,10.1021/jpv121i050_1155827,https://doi.org/10.1021/jpv121i050_1155827,False
The Journal of Physical Chemistry B,2018,10.1021/acs.jpcb.8b02374,https://doi.org/10.1021/acs.jpcb.8b02374,False
The Journal of Physical Chemistry B,2019,10.1021/acs.jpcb.8b10924,https://doi.org/10.1021/acs.jpcb.8b10924,False
