Name,Year,DOI,DOI-URL,Accessible
The Journal of Physical Chemistry C,2007,10.1021/jp072541h,https://doi.org/10.1021/jp072541h,False
The Journal of Physical Chemistry C,2008,10.1021/jp804484f,https://doi.org/10.1021/jp804484f,False
The Journal of Physical Chemistry C,2009,10.1021/jp810921w,https://doi.org/10.1021/jp810921w,False
The Journal of Physical Chemistry C,2010,10.1021/jp908645h,https://doi.org/10.1021/jp908645h,False
The Journal of Physical Chemistry C,2011,10.1021/jp112244m,https://doi.org/10.1021/jp112244m,False
The Journal of Physical Chemistry C,2012,10.1021/jp3090777,https://doi.org/10.1021/jp3090777,False
The Journal of Physical Chemistry C,2013,10.1021/jp311059d,https://doi.org/10.1021/jp311059d,False
The Journal of Physical Chemistry C,2014,10.1021/jp509972m,https://doi.org/10.1021/jp509972m,False
The Journal of Physical Chemistry C,2015,10.1021/jp511973k,https://doi.org/10.1021/jp511973k,False
The Journal of Physical Chemistry C,2016,10.1021/acs.jpcc.5b11607,https://doi.org/10.1021/acs.jpcc.5b11607,False
The Journal of Physical Chemistry C,2017,10.1021/acs.jpcc.6b09616,https://doi.org/10.1021/acs.jpcc.6b09616,False
The Journal of Physical Chemistry C,2018,10.1021/acs.jpcc.8b07618,https://doi.org/10.1021/acs.jpcc.8b07618,False
The Journal of Physical Chemistry C,2019,10.1021/acs.jpcc.8b10921,https://doi.org/10.1021/acs.jpcc.8b10921,False
