Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,0
Accounts of chemical research,ACS (CRKN),https://pubs.acs.org/journal/achre4,American Chemical Society,0001-4842,1520-4898,1996-01-10,Present,1169
ACS Applied Bio Materials,ACS (CRKN),http://pubs.acs.org/loi/aabmcb,American Chemical Society,,2576-6422,2018-07-16,Present,6019
ACS Applied Energy Materials,ACS (CRKN),https://pubs.acs.org/journal/aaemcq,American Chemical Society,,2574-0962,2018-01-01,Present,6016
ACS Applied Materials & Interfaces,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,5119
ACS Applied Nano Materials,ACS (CRKN),https://pubs.acs.org/journal/aanmf6,American Chemical Society,,2574-0970,2018-01-01,Present,6017
ACS Biomaterials Science & Engineering,ACS (CRKN),https://pubs.acs.org/journal/abseba,American Chemical Society,,2373-9878,2015-01-12,Present,5909
ACS Catalysis,ACS (CRKN),https://pubs.acs.org/journal/accacs,American Chemical Society,,2155-5435,2011-01-07,Present,5360
ACS Chemical Biology,ACS (CRKN),https://pubs.acs.org/journal/acbcct,American Chemical Society,1554-8929,1554-8937,2006-02-01,Present,1498
ACS Chemical Neuroscience,ACS (CRKN),https://pubs.acs.org/journal/acncdm,American Chemical Society,,1948-7193,2010-01-20,Present,5130
ACS Combinatorial Science,ACS (CRKN),https://pubs.acs.org/journal/acsccc,American Chemical Society,2156-8952,2156-8944,2011-01-10,Present,5364
ACS Earth and Space Chemistry,ACS (CRKN),https://pubs.acs.org/loi/aesccq,American Chemical Society,,2472-3452,2017-03-16,Present,5967
ACS Energy Letters,ACS (CRKN),https://pubs.acs.org/journal/aelccp,American Chemical Society,,2380-8195,2016-08-01,Present,5915
ACS Infectious Diseases,ACS (CRKN),https://pubs.acs.org/journal/aidcbc,American Chemical Society,,2373-8227,2015-01-09,Present,5907
ACS Macro Letters,ACS (CRKN),https://pubs.acs.org/journal/amlccd,American Chemical Society,,2161-1653,2012-01-17,Present,5366
ACS Medicinal Chemistry Letters,ACS (CRKN),https://pubs.acs.org/journal/amclct,American Chemical Society,,1948-5875,2010-04-08,Present,5128
ACS Nano,ACS (CRKN),https://pubs.acs.org/journal/ancac3,American Chemical Society,1936-0851,1936-086X,2007-08-01,Present,5046
ACS Pharmacology & Translational Science,ACS (CRKN),http://pubs.acs.org/loi/aptsfn,American Chemical Society,,2575-9108,2018-09-14,Present,6018
ACS Photonics,ACS (CRKN),https://pubs.acs.org/journal/apchd5,American Chemical Society,,2330-4022,2014-01-15,Present,5812
ACS Sensors,ACS (CRKN),https://pubs.acs.org/journal/ascefj,American Chemical Society,,2379-3694,2016-01-01,Present,5914
ACS Sustainable Chemistry & Engineering,ACS (CRKN),https://pubs.acs.org/journal/ascecg,American Chemical Society,,2168-0485,2013-01-07,Present,5389
ACS Synthetic Biology,ACS (CRKN),https://pubs.acs.org/journal/asbcd6,American Chemical Society,,2161-5063,2012-01-20,Present,5370
Analytical chemistry,ACS (CRKN),https://pubs.acs.org/journal/ancham,American Chemical Society,0003-2700,1520-6882,1996-01-01,Present,1205
Biochemistry (ACS),ACS (CRKN),https://pubs.acs.org/journal/bichaw,American Chemical Society,0006-2960,1520-4995,1996-01-01,Present,1171
Bioconjugate chemistry,ACS (CRKN),https://pubs.acs.org/journal/bcches,American Chemical Society,1043-1802,1520-4812,1996-01-30,Present,1167
Biomacromolecules,ACS (CRKN),https://pubs.acs.org/journal/bomaf6,American Chemical Society,1525-7797,1526-4602,2000-03-01,Present,1240
Chemical and Engineering News: News Edition of the American Chemical Society,ACS (CRKN),https://pubs.acs.org/loi/cgeabj,American Chemical Society,,2474-7408,2016-01-04,Present,5968
Chemical Research in Toxicology,ACS (CRKN),https://pubs.acs.org/journal/crtoec,American Chemical Society,0893-228X,1520-5010,1996-01-15,Present,1175
Chemical reviews,ACS (CRKN),https://pubs.acs.org/journal/chreay,American Chemical Society,0009-2665,1520-6890,1996-02-01,Present,1207
Chemistry of materials,ACS (CRKN),https://pubs.acs.org/journal/cmatex,American Chemical Society,0897-4756,1520-5002,1996-01-15,Present,1173
Crystal growth & design,ACS (CRKN),https://pubs.acs.org/journal/cgdefu,American Chemical Society,1528-7483,1528-7505,2001-01-01,Present,1261
Energy & fuels,ACS (CRKN),https://pubs.acs.org/journal/enfuem,American Chemical Society,0887-0624,1520-5029,1996-01-18,Present,1177
Environmental Science & Technology,ACS (CRKN),https://pubs.acs.org/journal/esthag,American Chemical Society,0013-936X,1520-5851,1995-12-27,Present,1197
Environmental Science & Technology Letters,ACS (CRKN),https://pubs.acs.org/journal/estlcu,American Chemical Society,,2328-8930,2014-01-14,Present,5811
Industrial & engineering chemistry research,ACS (CRKN),https://pubs.acs.org/journal/iecred,American Chemical Society,0888-5885,1520-5045,1996-01-08,Present,1179
Inorganic chemistry,ACS (CRKN),https://pubs.acs.org/journal/inocaj,American Chemical Society,0020-1669,1520-510X,1996-01-03,Present,1181
Journal of agricultural and food chemistry,ACS (CRKN),https://pubs.acs.org/journal/jafcau,American Chemical Society,0021-8561,1520-5118,1996-01-18,Present,1183
Journal of Chemical and Engineering Data,ACS (CRKN),https://pubs.acs.org/journal/jceaax,American Chemical Society,0021-9568,1520-5134,1996-01-11,Present,1187
Journal of Chemical Education,ACS (CRKN),https://pubs.acs.org/loi/jceda8,American Chemical Society,0021-9584,1938-1328,1924-01-01,Present,5085
Journal of Chemical Information and Computer Sciences,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,1189
Journal of chemical information and modeling,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,1549-9596,1549-960X,2005-01-01,Present,1483
Journal of chemical theory and computation,ACS (CRKN),https://pubs.acs.org/journal/jctcce,American Chemical Society,1549-9618,1549-9626,2005-01-01,Present,1484
Journal of combinatorial chemistry,ACS (CRKN),https://pubs.acs.org/journal/acsccc,American Chemical Society,1520-4766,1520-4774,1999-01-01,2010-11-08,1163
Journal of medicinal chemistry,ACS (CRKN),https://pubs.acs.org/journal/jmcmar,American Chemical Society,0022-2623,1520-4804,1996-01-05,Present,1165
Journal of Natural Products,ACS (CRKN),https://pubs.acs.org/journal/jnprdf,American Chemical Society,0163-3864,1520-6025,1996-01-22,Present,1200
Journal of proteome research,ACS (CRKN),https://pubs.acs.org/journal/jprobs,American Chemical Society,1535-3893,1535-3907,2002-02-01,Present,1412
Journal of the American Chemical Society,ACS (CRKN),https://pubs.acs.org/journal/jacsat,American Chemical Society,0002-7863,1520-5126,1996-01-10,Present,1185
Langmuir,ACS (CRKN),https://pubs.acs.org/journal/langd5,American Chemical Society,0743-7463,1520-5827,1996-01-10,Present,1193
