0,Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,RealBegin,RealEnd,FreeBegin,FreeEnd,Exp == Real,Exp < Free
1,Journal of the Indian Institute of Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/41745,Indian Institute of Science,0970-4140,0019-4964,2017-01-01,Present,,,,,,
2,Indian Journal of Labour Economics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/41027,Springer Science+Business Media B.V.,0971-7927,0019-5308,2015-01-01,Present,,,,,,
3,Molecules and Cells,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10059,Korean Science and Technology Center,1016-8478,0219-1032,2009-01-01,2013-12-31,,,,,,
4,Annals of Combinatorics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/26,Springer Science+Business Media B.V.,0218-0006,0219-3094,1997-01-01,Present,,,,,,
5,Knowledge and Information Systems,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10115,Springer Science+Business Media B.V.,0219-1377,0219-3116,1999-01-01,Present,,,,,,
6,Nonlinear Analysis: Real World Applications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nonlinear-analysis-real-world-applications,Elsevier,1468-1218,0362-546X|1878-5719,2000-03-01,Present,,,,,,
7,Electroencephalography and Clinical Neurophysiology- Electromyography and Motor Control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/electroencephalography-and-clinical-neurophysiology-electromyography-and-motor-control,Elsevier,,0924-980X,1995-02-01,1998-12-31,,,,,,
8,Acta Neurochirurgica,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/701,Springer Science+Business Media B.V.,0001-6268,0942-0940,1997-01-01,Present,,,,,,
9,Acta Neurochirurgica,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/701,Springer Science+Business Media B.V.,0001-6268,0942-0940,1950-02-01,1996-12-31,,,,,,
10,Numerische mathematik,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/211,Springer Science+Business Media B.V.,0029-599X,0945-3245,1997-01-01,Present,,,,,,
