Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd
Journal of the Indian Institute of Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/41745,Indian Institute of Science,0970-4140,0019-4964,2017-01-01,Present
Indian Journal of Labour Economics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/41027,Springer Science+Business Media B.V.,0971-7927,0019-5308,2015-01-01,Present
Molecules and Cells,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10059,Korean Science and Technology Center,1016-8478,0219-1032,2009-01-01,2013-12-31
Annals of Combinatorics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/26,Springer Science+Business Media B.V.,0218-0006,0219-3094,1997-01-01,Present
Knowledge and Information Systems,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10115,Springer Science+Business Media B.V.,0219-1377,0219-3116,1999-01-01,Present
Nonlinear Analysis: Real World Applications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nonlinear-analysis-real-world-applications,Elsevier,1468-1218,0362-546X|1878-5719,2000-03-01,Present
Electroencephalography and Clinical Neurophysiology- Electromyography and Motor Control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/electroencephalography-and-clinical-neurophysiology-electromyography-and-motor-control,Elsevier,,0924-980X,1995-02-01,1998-12-31
Acta Neurochirurgica,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/701,Springer Science+Business Media B.V.,0001-6268,0942-0940,1997-01-01,Present
Acta Neurochirurgica,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/701,Springer Science+Business Media B.V.,0001-6268,0942-0940,1950-02-01,1996-12-31
Numerische mathematik,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/211,Springer Science+Business Media B.V.,0029-599X,0945-3245,1997-01-01,Present
Numerische mathematik,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/211,Springer Science+Business Media B.V.,0029-599X,0945-3245,1959-12-01,1996-10-31
Journal of the IGPL,Oxford Journals (CRKN),https://academic.oup.com/jigpal/issue,Oxford University Press,,0945-9103,1996-02-01,1996-06-30
Journal of molecular modeling,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/894,Springer Science+Business Media B.V.,1610-2940,0948-5023,1997-01-01,Present
Journal of molecular modeling,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/894,Springer Science+Business Media B.V.,1610-2940,0948-5023,1995-02-01,1996-12-31
Informatik - Forschung und Entwicklung,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/450,Springer Verlag,0178-3564,0949-2925,1997-01-01,2008-12-31
The VLDB Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/778,Springer Science+Business Media B.V.,1066-8888,0949-877X,1997-01-01,Present
The VLDB Journal,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/778,Springer Science+Business Media B.V.,1066-8888,0949-877X,1992-07-01,1996-12-31
International journal of refractory metals and hard materials,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-refractory-metals-and-hard-materials,Elsevier,0263-4368,0958-0611,1995-01-01,Present
Journal of Orthopaedics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-orthopaedics,Elsevier,,0972-978X,2013-03-01,Present
Journal of Chemical Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12039,Springer Science+Business Media B.V.,0974-3626,0973-7103,1997-01-01,Present
Pramana,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12043,Springer Science+Business Media B.V.,0304-4289,0973-7111,1997-01-01,Present
Resonance: Journal of Science Education,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12045,Springer Science+Business Media B.V.,0971-8044,0973-712X,1997-01-01,Present
Journal of biosciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12038,Springer Science+Business Media B.V.,0250-5991,0973-7138,1997-01-01,Present
Bulletin of materials science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12034,Springer Science+Business Media B.V.,0250-4707,0973-7669,1997-01-01,Present
Sadhana: Academy Proceedings in Engineering Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12046,Springer Science+Business Media B.V.,0256-2499,0973-7677,1997-01-01,Present
Proceedings - Mathematical Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12044,Springer Science+Business Media B.V.,0253-4142,0973-7685,1997-01-01,Present
The Indian Journal of Pediatrics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12098,Springer India,0019-5456,0973-7693,1997-01-01,Present
Indian Journal of Otolaryngology and Head & Neck Surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12070,Springer India,2231-3796,0973-7707,1997-01-01,Present
Indian Journal of Microbiology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12088,Springer Science+Business Media B.V.,0046-8991,0973-7715,2007-01-01,Present
Indian journal of thoracic and cardiovascular surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12055,Springer India,0970-9134,0973-7723,2000-01-01,Present
