Title,Year,DOI,DOI-URL,Accessible,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,AsExpected,ProblemYears,FreeYears
ACS Applied Materials & Interfaces,2009,10.1021/am900452c,http://doi.org/10.1021/am900452c,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2010,10.1021/am100687n,http://doi.org/10.1021/am100687n,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2011,10.1021/am200273s,http://doi.org/10.1021/am200273s,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2012,10.1021/am3003507,http://doi.org/10.1021/am3003507,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2013,10.1021/am4034119,http://doi.org/10.1021/am4034119,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2014,10.1021/am4036306,http://doi.org/10.1021/am4036306,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2015,10.1021/acsami.5b01338,http://doi.org/10.1021/acsami.5b01338,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2016,10.1021/acsami.6b14466,http://doi.org/10.1021/acsami.6b14466,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2017,10.1021/acsami.7b10863,http://doi.org/10.1021/acsami.7b10863,False,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
ACS Applied Materials & Interfaces,2018,10.1021/acsami.7b17565,http://doi.org/10.1021/acsami.7b17565,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
